itemid,valueuom,label,fluid,category
51000,mg/dL,Triglycerides,Blood,Chemistry
51001,ng/dL,Triiodothyronine (T3),Blood,Chemistry
51003,ng/mL,Troponin T,Blood,Chemistry
51005,Ratio,Uptake Ratio,Blood,Chemistry
51006,mg/dL,Urea Nitrogen,Blood,Chemistry
51007,mg/dL,Uric Acid,Blood,Chemistry
51009,ug/mL,Vancomycin,Blood,Chemistry
51010,pg/mL,Vitamin B12,Blood,Chemistry
51025,g/dL,"Albumin, Body Fluid",Other Body Fluid,Chemistry
51026,IU/L,"Amylase, Body Fluid",Other Body Fluid,Chemistry
51028,mg/dL,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry
51034,mg/dL,"Glucose, Body Fluid",Other Body Fluid,Chemistry
51035,IU/L,"LD, Body Fluid",Other Body Fluid,Chemistry
51043,g/dL,"Total Protein, Body Fluid",Other Body Fluid,Chemistry
51044,mg/dL,Triglycer,Other Body Fluid,Chemistry
51046,g/dL,"Albumin, Pleural",Pleural,Chemistry
51047,IU/L,"Amylase, Pleural",Pleural,Chemistry
51051,mg/dL,"Cholesterol, Pleural",Pleural,Chemistry
51052,mg/dL,"Creatinine, Pleural",Pleural,Chemistry
51053,mg/dL,"Glucose, Pleural",Pleural,Chemistry
51054,IU/L,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry
51059,g/dL,"Total Protein, Pleural",Pleural,Chemistry
51067,mg/24hr,24 hr Creatinine,Urine,Chemistry
51069,mg/dL,"Albumin, Urine",Urine,Chemistry
51070,mg/g,"Albumin/Creatinine, Urine",Urine,Chemistry
51076,mEq/L,"Bicarbonate, Urine",Urine,Chemistry
51077,mg/dL,"Calcium, Urine",Urine,Chemistry
51078,mEq/L,"Chloride, Urine",Urine,Chemistry
51080,mL/min,Creatinine Clearance,Urine,Chemistry
51081,mg/dL,"Creatinine, Serum",Urine,Chemistry
51082,mg/dL,"Creatinine, Urine",Urine,Chemistry
51085,+/-,"HCG, Urine, Qualitative",Urine,Chemistry
51088,mg/dL,"Magnesium, Urine",Urine,Chemistry
51093,mOsm/kg,"Osmolality, Urine",Urine,Chemistry
51095,mg/dL,"Phosphate, Urine",Urine,Chemistry
51097,mEq/L,"Potassium, Urine",Urine,Chemistry
51099,Ratio,Protein/Creatinine Ratio,Urine,Chemistry
51099,mg/mg,Protein/Creatinine Ratio,Urine,Chemistry
51100,mEq/L,"Sodium, Urine",Urine,Chemistry
51101,hrs,Total Collection Time,Urine,Chemistry
51102,mg/dL,"Total Protein, Urine",Urine,Chemistry
51104,mg/dL,"Urea Nitrogen, Urine",Urine,Chemistry
51105,mg/dL,"Uric Acid, Urine",Urine,Chemistry
51106,mg/dL,Urine Creatinine,Urine,Chemistry
51108,mL,Urine Volume,Urine,Chemistry
51109,mL,"Urine Volume, Total",Urine,Chemistry
51110,%,Atypical Lymphocytes,Ascites,Hematology
51112,%,Basophils,Ascites,Hematology
51114,%,Eosinophils,Ascites,Hematology
51115,%,"Hematocrit, Ascites",Ascites,Hematology
51116,%,Lymphocytes,Ascites,Hematology
51117,%,Macrophage,Ascites,Hematology
51118,%,Mesothelial Cell,Ascites,Hematology
51120,%,Monocytes,Ascites,Hematology
51123,%,Other,Ascites,Hematology
51124,%,Plasma,Ascites,Hematology
51125,%,Polys,Ascites,Hematology
51127,#/uL,"RBC, Ascites",Ascites,Hematology
51130,#/uL,Absolute CD3 Count,Blood,Hematology
51131,#/uL,Absolute CD4 Count,Blood,Hematology
51132,#/uL,Absolute CD8 Count,Blood,Hematology
51133,K/uL,Absolute Lymphocyte Count,Blood,Hematology
51138,GPL,Anticardiolipin Antibody IgG,Blood,Hematology
51139,MPL,Anticardiolipin Antibody IgM,Blood,Hematology
51143,%,Atypical Lymphocytes,Blood,Hematology
51144,%,Bands,Blood,Hematology
51146,%,Basophils,Blood,Hematology
51148,%,Blasts,Blood,Hematology
51149,min,Bleeding Time,Blood,Hematology
51176,%,"CD3 Cells, Percent",Blood,Hematology
51178,%,CD34,Blood,Hematology
51180,%,"CD4 Cells, Percent",Blood,Hematology
51181,Ratio,CD4/CD8 Ratio,Blood,Hematology
51194,%,"CD8 Cells, Percent",Blood,Hematology
51196,ng/mL FEU,D-Dimer,Blood,Hematology
51200,%,Eosinophils,Blood,Hematology
51213,ug/mL,Fibrin Degradation Products,Blood,Hematology
51214,mg/dL,"Fibrinogen, Functional",Blood,Hematology
51218,#/uL,Granulocyte Count,Blood,Hematology
51221,%,Hematocrit,Blood,Hematology
51222,g/dL,Hemoglobin,Blood,Hematology
51224,%,Hemoglobin C,Blood,Hematology
51226,%,Hemogloblin A,Blood,Hematology
51227,%,Hemogloblin S,Blood,Hematology
51228,IU/mL,Heparin,Blood,Hematology
51229,IU/mL,"Heparin, LMW",Blood,Hematology
51244,%,Lymphocytes,Blood,Hematology
51245,%,"Lymphocytes, Percent",Blood,Hematology
51248,pg,MCH,Blood,Hematology
51249,%,MCHC,Blood,Hematology
51249,g/dL,MCHC,Blood,Hematology
51250,fL,MCV,Blood,Hematology
51251,%,Metamyelocytes,Blood,Hematology
51254,%,Monocytes,Blood,Hematology
51255,%,Myelocytes,Blood,Hematology
51256,%,Neutrophils,Blood,Hematology
51257,%,Nucleated Red Cells,Blood,Hematology
51259,%,Other Cells,Blood,Hematology
51263,%,Plasma Cells,Blood,Hematology
51265,K/uL,Platelet Count,Blood,Hematology
51269,%,Promyelocytes,Blood,Hematology
51271,%,"Protein C, Functional",Blood,Hematology
51274,sec,PT,Blood,Hematology
51275,sec,PTT,Blood,Hematology
51276,U/g/Hb,Quantitative G6PD,Blood,Hematology
51277,%,RDW,Blood,Hematology
51279,m/uL,Red Blood Cells,Blood,Hematology
51282,m/uL,"Reticulocyte Count, Absolute",Blood,Hematology
51283,%,"Reticulocyte Count, Automated",Blood,Hematology
51288,mm/hr,Sedimentation Rate,Blood,Hematology
51297,sec,Thrombin,Blood,Hematology
51300,K/uL,WBC Count,Blood,Hematology
51301,K/uL,White Blood Cells,Blood,Hematology
51369,%,"Hematocrit, Joint Fluid",Joint Fluid,Hematology
51375,%,Lymphocytes,Joint Fluid,Hematology
51376,%,Macrophage,Joint Fluid,Hematology
51379,%,Monocytes,Joint Fluid,Hematology
51382,%,Polys,Joint Fluid,Hematology
51383,#/uL,"RBC, Joint Fluid",Joint Fluid,Hematology
51386,%,Bands,Other Body Fluid,Hematology
51387,%,Basophils,Other Body Fluid,Hematology
51406,#/uL,CD34,Other Body Fluid,Hematology
51419,%,Eosinophils,Other Body Fluid,Hematology
51422,%,"Hematocrit, Other Fluid",Other Body Fluid,Hematology
51427,%,Lymphocytes,Other Body Fluid,Hematology
51428,%,Macrophage,Other Body Fluid,Hematology
51429,%,Mesothelial cells,Other Body Fluid,Hematology
51431,%,Monos,Other Body Fluid,Hematology
51434,%,Other Cell,Other Body Fluid,Hematology
51436,%,Polys,Other Body Fluid,Hematology
51438,#/uL,"RBC, Other Fluid",Other Body Fluid,Hematology
51444,%,Eosinophils,Pleural,Hematology
51446,%,Lymphocytes,Pleural,Hematology
51447,%,Macrophages,Pleural,Hematology
51448,%,Mesothelial Cells,Pleural,Hematology
51450,%,Monos,Pleural,Hematology
51453,%,Other,Pleural,Hematology
51454,%,Plasma Cells,Pleural,Hematology
51455,%,Polys,Pleural,Hematology
51457,#/uL,"RBC, Pleural",Pleural,Hematology
51462,/hpf,Amorphous Crystals,Urine,Hematology
51463,/hpf,Bacteria,Urine,Hematology
51464,mg/dL,Bilirubin,Urine,Hematology
51469,/hpf,Calcium Oxalate Crystals,Urine,Hematology
51476,#/hpf,Epithelial Cells,Urine,Hematology
51478,mg/dL,Glucose,Urine,Hematology
51479,#/lpf,Granular Casts,Urine,Hematology
51482,#/lpf,Hyaline Casts,Urine,Hematology
51484,mg/dL,Ketone,Urine,Hematology
51489,#/hpf,NonSquamous Epithelial Cell,Urine,Hematology
51491,units,pH,Urine,Hematology
51492,mg/dL,Protein,Urine,Hematology
51493,#/hpf,RBC,Urine,Hematology
51497,#/hpf,Renal Epithelial Cells,Urine,Hematology
51498, ,Specific Gravity,Urine,Hematology
51501,#/hpf,Transitional Epithelial Cells,Urine,Hematology
51512,/hpf,Urine Mucous,Urine,Hematology
51514,mg/dL,Urobilinogen,Urine,Hematology
51515,#/lpf,Waxy Casts,Urine,Hematology
51516,#/hpf,WBC,Urine,Hematology
51518,/hpf,WBC Clumps,Urine,Hematology
51519,/hpf,Yeast,Urine,Hematology
51598,log10 IU/mL,Cytomegalovirus Viral Load,Blood,Chemistry
51613,mg/dL,eAG,Blood,Chemistry
51625,mg/L,Free Kappa,Blood,Chemistry
51627,mg/L,Free Lambda,Blood,Chemistry
51651,log10 IU/mL,Hepatitis C Viral Load,Blood,Chemistry
51654,log10 cop/mL,HIV 1 Viral Load,Blood,Chemistry
51654,log10 copies/mL,HIV 1 Viral Load,Blood,Chemistry
51678,U,L,Blood,Chemistry
51790,mg/dL,"Glucose, CSF",Cerebrospinal Fluid,Chemistry
51802,mg/dL,"Total Protein, CSF",Cerebrospinal Fluid,Chemistry
52024,mg/dL,"Creatinine, Whole Blood",Blood,Blood Gas
52065,#/uL,"Total Nucleated Cells, Ascites",Ascites,Hematology
52069,K/uL,Absolute Basophil Count,Blood,Hematology
52073,K/uL,Absolute Eosinophil Count,Blood,Hematology
52074,K/uL,Absolute Monocyte Count,Blood,Hematology
52075,K/uL,Absolute Neutrophil Count,Blood,Hematology
52135,%,Immature Granulocytes,Blood,Hematology
52172,fL,RDW-SD,Blood,Hematology
52220,%,wbcp,Blood,Hematology
52264,%,Lymphs,Cerebrospinal Fluid,Hematology
52266,%,Macrophage,Cerebrospinal Fluid,Hematology
52272,%,Monocytes,Cerebrospinal Fluid,Hematology
52281,%,Polys,Cerebrospinal Fluid,Hematology
52285,#/uL,"RBC, CSF",Cerebrospinal Fluid,Hematology
52286,#/uL,"Total Nucleated Cells, CSF",Cerebrospinal Fluid,Hematology
52312,#/uL,"Total Nucleated Cells, Joint",Joint Fluid,Hematology
52369,#/uL,"Total Nucleated Cells, Other",Other Body Fluid,Hematology
52391,#/uL,"Total Nucleated Cells, Pleural",Pleural,Hematology
52769,#/uL,Absolute Lymphocyte Count,Blood,Hematology
