item,unit
IABP HF,/min
IABP Mean Blood Pressure,mmHG/lsb.
IABP Mean Dia. Blood Pressure,mmHG/lsb.
IABP Mean Sys. Blood Pressure,mmHG/lsb.
IABP Systole,mmHg
IC NAS Item 1 score,None
IC NAS Item 10 score,None
IC NAS Item 11 score,None
IC NAS Item 12 score,None
IC NAS Item 13 score,None
IC NAS Item 14 score,None
IC NAS Item 15 score,None
IC NAS Item 16 score,None
IC NAS Item 17 score,None
IC NAS Item 18 score,None
IC NAS Item 19 score,None
IC NAS Item 2 score,None
IC NAS Item 20 score,None
IC NAS Item 21 score,None
IC NAS Item 22 score,None
IC NAS Item 23 score,None
IC NAS Item 3 score,None
IC NAS Item 4 score,None
IC NAS Item 5 score,None
IC NAS Item 6 score,None
IC NAS Item 7 score,None
IC NAS Item 8 score,None
IC NAS Item 9 score,None
IC NAS score,Geen
ICARUS LV fractional shortening in PLAX,Geen
IG-G (verz. urine),mg/l
IgA (bloed),g/l
IgD  (bloed),Geen
IgD (beenmerg),Geen
IgD (bloed),mg/l
IgE totaal (bloed),kE/l
IGF-1 (bloed),nmol/l
IgG  (bloed),Geen
IgG (beenmerg),Geen
IgG (bloed),g/l
IgG (liquor),mg/l
IgG (urine),mg/l
IgG index liquor,None
IgG-Index (liquor),Geen
IgM  (bloed),Geen
IgM (beenmerg),Geen
IgM (bloed),g/l
IgM (liquor),mg/l
IgM-Index (liquor),Geen
IJzer Verz% (bloed),Geen
IJzer,�mol
Ileostoma,ml
Imipramine (bloed),µg/l
Imipramine+Desipramine (bloed),µg/l
Insp. Flow max,l/min
Insp. Minuut volume,l/min
Insp. tidal volume (2),ml
Insp. tidal volume,ml
Insp. Time (sec) nieuw,sec
Insuline (bloed),pmol/l
Intacrani�le druk,cmH2O
Interferon gamma release assay NUM (TBC) (bloed),IE/ml
Intracrani�le druk(2),mmHg
Intracrani�le druk,mmHg
Intrinsic PEEP(2),mbar
Intrinsic PEEP,mbar
Intubatie KlinischEventID,None
Intubatie ProcessID,None
Intubatie Tube PendingOrderID,None
IPAP Rise Time,sec
IPAP,cmH2O
Isoniazide (bloed),mg/l
ITBVI,ml/m2
item,unit
Itraconazol (bloed),mg/l
Itraconazol+Itraconazol hydroxy (bloed),mg/l
Jejunostoma,ml
K (onv.ISE) (bloed),mmol/l
Kalium  (verz. urine),mmol/l
Kalium (bloed),mmol/l
Kalium (faeces verzameld),mmol/24uur
Kalium (faeces),mmol/l
Kalium (overig),mmol/l
Kalium (urine),mmol/l
Kalium (verz. urine),mmol/24uur
Kalium Astrup,mmol/l
Kalium dialysaat (dialysaat),mmol/l
Kalium in urine,mmol/l
Kalium,mmol/l
kappa (beenmerg),Geen
kappa (bloed),Geen
kappa/lambda (beenmerg),Geen
Ketonen (bloed),mmol/l
Kleihauer (bloed),�l
Knie Li extensie HHD,Geen
Knie Re extensie HHD,Geen
Kolven,ml
Koper (bloed),�mol/l
Koper (urine),�mol/l
KOPER (verz. urine),�mol/l
Kopieer en plak,l
KREAT enzym. (bloed),�mol/l
KREAT.KLAR (verz. urine),ml/min
Kreat.klaring (urine),ml/min
Kreatinine  (verz. urine),mmol/l
Kreatinine (bloed),�mol/l
Kreatinine (Jaff�)  (overig),mmol/l
Kreatinine (Jaff�) (overig),�mol/l
Kreatinine (overig),�mol/l
Kreatinine (urine),mmol/l
Kreatinine (verz. urine),mmol/24uur
Kreatinine dialysaat (dialysaat),�mol/l
Kreatinine in urine,mmol/l
Kreatinine klaring,ml/min
Kreatinine,�mol
Lactaat (bloed),mmol/l
Lactaat (liquor),mmol/l
Lactaat (overig),mmol/l
Laktaat Astrup,mmol/l
Laktaat,mmol/l
lambda (beenmerg),Geen
lambda (bloed),Geen
Lamotrigine (bloed),mg/l
LD (bloed),E/l
LD (overig),E/l
LD ascitesvocht (ascitesvocht),E/l
LD pleuravocht (pleurapunct.),E/l
LD-fractie 1 (bloed),Geen
LD-fractie 2 (bloed),Geen
LD-fractie 3 (bloed),Geen
LD-fractie 4 (bloed),Geen
LD-fractie 5 (bloed),Geen
LDH,IE/l
LDL (Ber.) (bloed),mmol/l
LeeftijdX,None
Lengte (Lab bepaling),cm
Leuco sed (urine),/veld
Leuco's (bloed),10^9/l
Leuco's (overig),10^9/l
Leuco's ascitesvocht (ascitesvocht),10^9/l
Leuco's dialysaat (dialysaat),10^9/l
Leuco's drainvocht (drain),10^9/l
Leuco's peritoneaalvocht (perito.vocht capd),10^9/l
Leuco's pleuravocht (pleurapunct.),10^9/l
Leuco's/uL (liquor),/�l
Leuco/3uL (liquor),/3 �l
Leuco/3ul,None
Leuco/ul,None
Leucocyten,10^9/l
Levetiracetam (bloed),mg/l
LH (bloed),E/l
LH in urine,IE/ml
Lipase (bloed),E/l
Lipase (overig),E/l
Lipase ascitesvocht (ascitesvocht),E/l
Lipase drainvocht (drain),E/l
Lipase,None
Liquorpunctie,ml
Lithium (bloed),mmol/l
Lithium spiegel,mmol/l
Lood (bloed),µg/l
Lopinavir (bloed),mg/l
Lorazepam (bloed),µg/l
Lumbaaldrain Stand,ml
Lumbaaldrain Uit,ml
Lymfocyten % (bloed),Geen
Lymfocyten (bloed),10^9/l
Lymfocyten Abs,10^9/l
Lymfocyten,None
M.C.H.,None
M.C.H.C.,mmol/l
M.C.V.,fl
Maaghevel Stand,ml
Maaghevel,ml
Maagretentie,ml
MaagRetentieWeg,ml
MaagRetNietWeg,ml
Maagzuig Stand,ml
Maagzuig,ml
MACRO-FR. (bloed),E/l
Magnesium  (verz. urine),mmol/l
Magnesium (bloed),mmol/l
Magnesium (dialysaat),mmol/l
Magnesium (overig),mmol/l
Magnesium (urine),mmol/l
Magnesium (verz. urine),mmol/24uur
Magnesium,mmol/l
MB (bloed),E/l
MB-Massa (bloed),µg/l
MC NAS Item 1 score,None
MC NAS Item 10 score,None
MC NAS Item 11 score,None
MC NAS Item 12 score,None
MC NAS Item 13 score,None
MC NAS Item 14 score,None
MC NAS Item 15 score,None
MC NAS Item 16 score,None
MC NAS Item 17 score,None
MC NAS Item 18 score,None
MC NAS Item 19 score,None
MC NAS Item 2 score,None
MC NAS Item 20 score,None
MC NAS Item 21 score,None
MC NAS Item 22 score,None
MC NAS Item 23 score,None
MC NAS Item 3 score,None
MC NAS Item 4 score,None
MC NAS Item 5 score,None
MC NAS Item 6 score,None
MC NAS Item 7 score,None
MC NAS Item 8 score,None
MC NAS Item 9 score,None
MC NAS score,Geen
MCA_ABPm,mmHg
MCA_Ademfrequentie,/min
MCA_Apache_Score,Geen
MCA_Arteri�le_PH,Geen
MCA_FiO2,Geen
MCA_Hematocriet(%),Geen
MCA_Leucocyten,10^9/l
MCA_Serum_Kalium,mmol/l
MCA_Serum_Kreatinine,�mol/l
MCA_Serum_Natrium,mmol/l
MCA_Temperatuur,�C
MCH (bloed),amol
MCHC (bloed),mmol/cel
MCHC (bloed)-LabZis2,mmol/cel
MCV (bloed),fl
MCV (overig),fl
Mean luchtweg druk (2),cmH2O
Mean luchtweg druk,cmH2O
Meettemp. (bloed),�
Meropenem (bloed),mg/l
Met-Hb  (bloed),Geen
Met-Hb (bloed),Geen
Metamyelocyten % (bloed),Geen
Metamyelocyten (bloed),10^9/l
Metanefrine (bloed),nmol/l
Metanefrine (verz. urine),�mol/24uur
Methanol (bloed),mg/l
Methotrexaat (bloed),�mol/l
Methylmalonzuur (bloed),�mol/l
MFT_Arteriele bovengrens,mmHg
MFT_Arteriele druk,mmHg
MFT_Arteriele ondergrens,mmHg
MFT_Behandelingsduur,uur
MFT_Bloedflow (ingesteld),ml/min
MFT_FilterLooptijd,uur
MFT_Filtraat druk,mmHg
MFT_Filtraatvolume_huidig,l
MFT_Filtraatvolume_totaal,l
MFT_Postdilutieflow (ingesteld),ml/uur
MFT_Postdilutievolume_huidig,l
MFT_Postdilutievolume_totaal,l
MFT_Pre-filter druk,mmHg
MFT_Predilutieflow (ingesteld),ml/uur
MFT_Predilutievolume_huidig,l
MFT_Predilutievolume_totaal,l
MFT_Substituaat (ingesteld),ml/uur
MFT_Substitutievolume_huidig,l
MFT_Substitutievolume_totaal,l
MFT_Temperatuur (ingesteld),�C
MFT_TMP bovengrens,mmHg
MFT_TMP ondergrens,mmHg
MFT_TMP,mmHg
MFT_UF Totaal (ingesteld),ml
MFT_Ultrafiltratie (ingesteld),ml/uur
MFT_Veneuze bovengrens,mmHg
MFT_Veneuze druk,mmHg
MFT_Veneuze ondergrens,mmHg
MICRO-ALB. (verz. urine),mg/l
Micro-albumine (urine),mg/l
Micro-albumine (verz. urine),mg/24uur
Micro-albumine dialysaat (overig),mg/l
Micro-Bse (bloed),mm/uur
Midazolam (bloed),µg/l
MinVent,l/min
Mirtazepine (bloed),µg/l
Mitotaan (bloed),mg/l
Monocyten % (bloed),Geen
Monocyten (bloed),10^9/l
Monocyten,None
Motielen (semen),10^9/l
MPO cytopl (beenmerg),Geen
Mpro-Band1 (bloed),g/l
Mpro-Band1 (urine),g/l
Mpro-band1 (verz. urine),g/l
Mpro-Band2 (bloed),g/l
MRC Sum Score total,Geen
Mv Lekkage,l/min
Mv Spontaan(2),l/min
Mv Spontaan,l/min
MVe Spontaan nieuw,l/min
Mycofenolaat (bloed),mg/l
Mycofenolaat AUC [0-12] (bloed),mg.uur/l
Myelocyten % (bloed),Geen
Myelocyten (bloed),10^9/l
Myelo�d Totaal (beenmerg),Geen
MZD stand,ml
Na (onv.ISE) (bloed),mmol/l
Natrium  (overig),�mol/24uur
Natrium  (verz. urine),mmol/l
Natrium (bloed),mmol/l
Natrium (faeces verzameld),mmol/24uur
NATRIUM (faeces),mmol/l
NATRIUM (overig),mmol/l
Natrium (urine),mmol/l
Natrium (verz. urine),mmol/24uur
Natrium Astrup,mmol/l
Natrium dialysaat (dialysaat),mmol/l
Natrium in urine,mmol/l
Natrium,mmol/l
NAVA  Edi Trigger,�V
NAVA Edi min,�V
NAVA Edi peak,�V
NAVA Niveau,cmH2O/�V
Nazorg Gewicht bij polibezoek,kg
Nazorg Gewicht voor opname,kg
NDT-syst. Stand,ml
NDT-syst.,ml
Nefrodrain li Stand,ml
Nefrodrain li Uit,ml
Nefrodrain re Stand,ml
Nefrodrain re Uit,ml
Negatieve filterdruk,mmHg
Neutro's % app (bloed),Geen
Neutro's app (bloed),10^9/l
Neutrofielen,None
Nevirapine (bloed),mg/l
NICE Apache II Score,Geen
NICE Apache III Score,Geen
NICE Apache IV Score,Geen
NICE SAPS II Score,None
Niet invasieve bloeddruk diastolisch,mmHg
Niet invasieve bloeddruk gemiddeld,mmHg
Niet invasieve bloeddruk systolisch,mmHg
Niet Mot. (semen),10^9/l
NIV Backup RR (Set),/min
NIV Backup Ti (Set),sec
NIV leakage fraction nieuw,Geen
NK-cellen (beenmerg),Geen
NO(2),None
NO,None
Noradrenaline (plasma),nmol/l
Noradrenaline (serum),nmol/l
Nordiazepam (bloed),µg/l
Normetanefrine (bloed),nmol/l
Normetanefrine (verz. urine),�mol/24uur
Nortriptyline (bloed),µg/l
NT-proBNP (bloed),ng/l
NT-proBNP pleuravocht (pleurapunct.),ng/l
O2 concentratie (Set) (2),Geen
O2 concentratie (Set),Geen
O2 concentratie,Geen
O2 l/min,l/min
O2 Volume(2),None
O2 Volume,None
O2-Content (bloed),ml/dl
O2-CONTENT (overig),ml/dl
O2-Saturatie (bloed),Geen
O2sat (overig),Geen
Olanzapine (bloed),µg/l
Ontlasting flexiseal Stand,ml
Ontlasting,ml
Onttrekken,ml/uur
Opbrengst: (semen),10^6
Opgebracht (semen),ml
Opmerking (bloed),Geen
Opname gewicht,kg
OSMOLALIT. (overig),mosmol/kg
Osmolaliteit (bloed),mosmol/kg
Osmolaliteit (faeces),mosmol/kg
Osmolaliteit (overig),mosmol/kg
Osmolaliteit (urine),mosmol/kg
Osmolaliteit (verz. urine),mosmol/kg
Osmolaliteit Bloed,None
Osmolaliteit van urine,None
Osteocalcine (bloed),nmol/l
Oxazepam (bloed),mg/l
OxyHb-Fr. (bloed),Geen
P Bovenste (Set) (2),cmH2O
P Bovenste (Set),cmH2O
P hoog (Set),cmH2O
P max,mbar
P.B.G.   (verz. urine ),�mol/l
P.B.G.  (verz. urine ),�mol/24uur
P.B.G. (urine),�mol/l
P.B.G. (verz. urine),�mol/24uur
PA max ingesteld,mmHg
PA min ingesteld,mmHg
Pacemaker Atrium ampl.(output) gemeten,None
Pacemaker Atrium ampl.(output) ingesteld,None
Pacemaker Atrium sense gemeten,mV
Pacemaker Atrium sense ingesteld,mV
Pacemaker AV delay,msec
Pacemaker Frequentie,None
Pacemaker Ventricle ampl.(output) gemeten,None
Pacemaker Ventricle ampl.(output) ingesteld,None
Pacemaker Ventricle sense gemeten,mV
Pacemaker Ventricle sense ingesteld,mV
PAP diastolisch,mmHg
PAP gemiddeld,mmHg
PAP systolisch,mmHg
Para % TE  (urine),Geen
Para % TE (bloed),Geen
Paracetamol (bloed),mg/l
Paracetamol spiegel,mg/l
Paroxetine (bloed),µg/l
Pati�ntLeeftijd bij opname,jaar
Pause Time (sec) nieuw,sec
Pauze druk,cmH2O
PBE max ingesteld,mmHg
PC boven PEEP (Set) (2),cmH2O
PC boven PEEP (Set),cmH2O
PCO2 (bloed) - kPa,kPa
pCO2 (bloed),mmHg
pCO2 (overig),mmHg
PCO2,mmHg
PCWP wedge,mmHg
PD1 max ingesteld,mmHg
PD1,mmHg
PD2 min ingesteld,mmHg
Peak druk,mbar
PEEP (gemeten)(2),mbar
PEEP (gemeten),mbar
PEEP (Set) (2),cmH2O
PEEP (Set),cmH2O
PEEP tot (2),cmH2O
PEEP tot,cmH2O
PEEP/CPAP,mbar
Pentobarbital (bloed),mg/l
Pericarddrain Stand,ml
Pericarddrain Uit,ml
Peritoneaal druk,mmHg
Peritoneaaldialyse,ml
PFD max ingesteld,mmHg
PFD,mmHg
pH (bloed),Geen
pH (faeces),Geen
pH (overig),Geen
pH (urine),Geen
pH (verz. urine),Geen
pH gemeten (urine),Geen
PH in urine,None
pH pleuravocht (pleurapunct.),Geen
pH semen (semen),Geen
PH,None
pH-gemeten (overig),Geen
pH-gemeten (verz. urine),Geen
Phase angle,�
PiCCO APd,mmHg
PiCCO APm,mmHg
PiCCO APs,mmHg
PiCCO CI (Cardiac Index)X,l/min/m2
PiCCO CO (Cardiac Output),l/min
PiCCO EVLW,ml
PiCCO GEDV,ml
PiCCO GEDVI (Globaal Einddiastolisch Volume Index),ml/m2
PiCCO GEF,Geen
PiCCO Gewicht,kg
PiCCO HF Hartfrequentie,/min
PiCCO mean CO,l/min
PiCCO mean EVLW,ml
PiCCO mean GEDV,ml
PiCCO PCCO,l/min
PiCCO PPV (Polsdrukvariatie),Geen
PiCCO SVRX,dynes.sec.cm-5
PiCCO SVV (Slagvolumevariatie),Geen
PiCCO Tb blood temperature,�C
PiCCO_BSA,[0.0001] m2
PiCCO_EVLWI (Extravasculair longwater index),ml/kg
Piek druk (2),cmH2O
Piek druk,cmH2O
PIP,cmH2O
Plasma Amylase,E/l
Plasmacel (beenmerg),Geen
Plasmacellen (beenmerg),Geen
Plateau druk,mbar
Pleurapunctie,ml
Pls.Totaal Eiwit (bloed),g/l
plsTOT.EIW. (overig),g/l
PO2 (bloed) - kPa,kPa
PO2 (bloed),mmHg
pO2 (overig),mmHg
PO2,mmHg
Porfyrine  (verz. urine),�mol/l
Porfyrine (urine),�mol/l
Porfyrine (verz. urine),�mol/24uur
Posaconazol (bloed),mg/l
Pre Filter PBE,mmHg
PRE-ALB. (bloed),g/l
Pregabaline (bloed),mg/l
PrinterNOx Flow,l/min
PrinterNOx NO,ppm
PrinterNOx NO2,ppm
PROCALCITON (bloed),µg/l
Procalcitonine (bloed),µg/l
Progesteron (bloed),nmol/l
Progr.Mot. (semen),10^9/l
Prolactine (bloed),E/l
Promonocyten (beenmerg),Geen
Promyelocyten % (bloed),Geen
Promyelocyten (bloed),10^9/l
Prote�ne C activiteit  (bloed),Geen
Prote�ne C activiteit (bloed),Geen
Prote�ne C antigeen (bloed),Geen
Prote�ne S antigeen totaal (bloed),Geen
Prote�ne S antigeen vrij (bloed),Geen
Prothrombinetijd  (bloed),INR
Prothrombinetijd (bloed),INR
Protrombinetijd,sec
PS boven P hoog (Set) (2),cmH2O
PS boven P hoog (Set),cmH2O
PS boven PEEP (Set) (2),cmH2O
PS boven PEEP (Set),cmH2O
PSA (bloed),µg/l
Pt. trig,Geen
Ptau-181 (liquor),ng/l
PTH (bloed),pmol/l
PTH related peptide (bloed),pmol/l
PV venster,mmHg
Quetiapine (bloed),µg/l
RA_ABPm,mmHg
RA_Ademfrequentie,/min
RA_Arteri�le_PH,Geen
RA_FiO2,Geen
RA_Hematocriet(%),Geen
RA_Leucocyten,10^9/l
RA_Serum_Kalium,mmol/l
RA_Serum_Kreatinine,�mol/l
RA_Serum_Natrium,mmol/l
RA_Temperatuur,�C
Ramsay Streefwaarde,Geen
Rate (Bipap Vision),/min
Rate (Set),/min
Ratio Venlafaxine / desmethyl (bloed),Geen
RDW (bloed),None
Re,cmH20/l/s
Reactance (Xc),Ohm
Reanimatie ProcessID,None
Renineact. (bloed),ng/ml/uur
Renineconc (bloed),mE/l
Research_Apache_Score,Geen
Resistance (R),Ohm
Reti(Abs) (bloed),10^9/l
Reticulo's (bloed),o/oo
Reticulocyt,None
Ri,cmH20/l/s
Ring Sideroblasten (beenmerg),Geen
Risicofactor Roken Aantal sig/dag,/dag
Risiocofactor Roken Pack Years,/jaar
Risperidon (bloed),µg/l
Ronde Cel. (semen),10^9/l
Rood Totaal (beenmerg),Geen
RRI (Renal Resistive Index),Geen
S.M. (urine),Geen
S100 (bloed),µg/l
Salicylzuur (bloed),mg/l
SAQUINAVIR (divers)-LabZis2,mg/l
Saturatie (Monitor),None
SBI (Zwakke ademhalingsindex),Geen
SCC (bloed),µg/l
Schistosoma antistoffen testw. (ELISA) (bloed),Geen
Schouder Li-abductie(�),�
Schouder Li-exorotatie(�),�
Schouder Re-abductie(�),�
Schouder Re-exorotatie(�),�
SD IGF-1 (bloed),None
Segm. kernigen,None
Segmenten % (bloed),Geen
Segmenten (beenmerg),Geen
Segmenten (bloed),10^9/l
Sengtaken,ml
Serotonine (bloed),nmol/10^9 PLT
Serum Eiwit,g/l
Serum Totaal Eiwit (bloed),g/l
SET %O2,Geen
SHBG (bloed),nmol/l
Sideroblasten (bloed),Geen
SIMV ademcyclus (Set),sec
SIMV Frequentie (Set),l/min
Sirolimus (bloed),µg/l
Slijmfistel periodieke productie,ml
SNAQ score,None
SO2 (Hb) (bloed),Geen
SO2,None
Soortelijkgewicht urine,g/l
Spijt t/m: (bloed),Geen
Spijt t/m: (liquor),Geen
Spinaaldrain Stand,ml
Spinaaldrain Uit,ml
Spoelblaas In,ml
Spoelblaas Uit,ml
Spoeldrain In,ml
Spoeldrain PlaatsX,ml
Spoeldrain Uit,ml
Spoelmaag In,ml
Spoelmaag Uit,ml
Spoelwond In,ml
Spoelwond Uit,ml
ST segment analyse afleiding AVF,mm
ST segment analyse afleiding AVL,mm
ST segment analyse afleiding AVR,mm
ST segment analyse afleiding I,mm
ST segment analyse afleiding II,mm
ST segment analyse afleiding V1,mm
ST segment analyse afleiding V2,mm
ST segment analyse afleiding V3,mm
ST segment analyse afleiding V4,mm
ST segment analyse afleiding V5,mm
ST segment analyse afleiding V6,mm
ST segment analyse afleiding,mm
Staaf % (bloed),Geen
Staaf (bloed),10^9/l
Staafkernig,None
Streef Bovenwaarde ABPm,mmHg
Streef Bovenwaarde ABPs,mmHg
Streef Bovenwaarde AF,/min
Streef Bovenwaarde ICP,mmHg
Streef Bovenwaarde NIBPm,mmHg
Streef Bovenwaarde NIBPs,mmHg
Streef Bovenwaarde pCO2,mmHg
Streef Hb onderwaarde,mmol/l
Streef Onderwaarde ABPm,mmHg
Streef Onderwaarde ABPs,mmHg
Streef Onderwaarde AF,/min
Streef Onderwaarde CPP,mmHg
Streef Onderwaarde NIBPm,mmHg
Streef Onderwaarde NIBPs,mmHg
Streef Onderwaarde pCO2,mmHg
Streef Onderwaarde pO2,mmHg
Streef SpO2,None
Streef Temperatuur,�C
Streef Thrombo's onderwaarde,10^9/l
Streef Vochtbalans,ml
Streef waarde APTT bovenwaarde,sec
Streef waarde APTT onderwaarde,sec
Streptococcen anti DNase testwaarde (bloed),IE/ml
Stroke Volume Variation,None
Strongyloides antistoffen testwaarde (bloed),Geen
Subkl. 1 (bloed),g/l
Subkl. 2 (bloed),g/l
Subkl. 3 (bloed),g/l
Subkl. 4 (bloed),g/l
Substitutie vloeistof volume ingesteld,ml
Substitutie-flow,ml/uur
Substitutieflow ingesteld,ml/uur
Substitutieflow,ml/uur
SudanBlack Perifeer (bloed),%Blast +
Sulfamethoxazol (bloed),mg/l
Sulfamethoxazol Tot. (bloed),mg/l
Sunitib + desethylsunitinib (bloed),µg/l
SvO2 Vigilance,Geen
SVO2,None
T hoog (Set),sec
T peep (Set) (2),sec
T peep (Set),sec
T-cel % (HPC-A Allogeen),Geen
T-cel % (Tcellen concentraat),Geen
T-cel kg (HPC-A Allogeen),10^7/kg
T-cel kg (Tcellen concentraat),10^7/kg
T-cellen (beenmerg),Geen
T-cellen (bloed),Geen
T-cellen% (overig),Geen
T-cellen/KG (overig),10^7/kg
T4,nmol/l
Tacrolimus (bloed),µg/l
Tacrolimus AUC (bloed),�g.uur/l
Temazepam (bloed),µg/l
Temp Axillair,�C
Temp Blaas,�C
Temp Bloed,�C
Temp Huid,�C
Temp Lies,�C
Temp Oesophagus,�C
Temp Oor,�C
Temp Oraal,�C
Temp Rectaal,�C
Temperatuur Bevochtiger(2),�C
Temperatuur Bevochtiger,�C
Temperatuur Perifeer 1,�C
Temperatuur Perifeer 2,�C
TempVerwarmer ingesteld,�C
TempVerwarmer,�C
Teruggave galvocht,ml
Testosteron (bloed),nmol/l
Teugvolume (Set),ml
Texpiratie,None
Theofylline (bloed),mg/l
Thiopental (bloed),mg/l
Thoraxdrain KlinischEventID,None
Thoraxdrain ProcessID,None
Thoraxdrain Thoraxdrain PendingOrderID,None
Thoraxdrain1 Productie,ml
Thoraxdrain1 Stand,ml
Thoraxdrain2 Productie,ml
Thoraxdrain2 Stand,ml
Thoraxdrain3 Productie,ml
Thoraxdrain3 Stand,ml
Thoraxdrain4 Productie,ml
Thoraxdrain4 Stand,ml
Thoraxdrain5 Productie,ml
Thoraxdrain5 Stand,ml
Thoraxdrain6 Productie,ml
Thoraxdrain6 Stand,ml
Thrombinetijd (bloed),sec
Thrombinetijd,sec
Thrombo CD61 (bloed),10^9/l
Thrombo's (bloed),10^9/l
THROMBO'S (overig),10^9/l
Thrombo's citr. bloed (bloed),10^9/l
Thrombocyten,10^9/l
Thrombotest,None
Thyreoglobuline (bloed),pmol/l
Thyroxine Bindend Globuline (bloed),nmol/l
Ti (sec) nieuw,sec
Ti/ T tot,Geen
Tidal Volume (set)(2),ml
Tidal Volume (Set),ml
Tidal Volume Spirometer,ml
Tijd Na Pr. (semen),min
Tinsp (Set),sec
Tinspiratie,None
TMP max ingesteld,mmHg
TMP,mmHg
Tobramycine (bloed),mg/l
Tobramycine dal spiegel,mg/l
Tobramycine top spiegel,mg/l
TOBRAMYdal (bloed),mg/l
TOBRAMYtop (bloed),mg/l
Topiramaat (bloed),mg/l
Tot. leak,l/min
Tot. WBC*10^8 (HPC-A Allogeen),10^8
Tot. WBC*10^8 (HPC-A Autoloog),10^8
Tot. WBC*10^8 (Tcellen concentraat),10^8
Tot.Amiodaron + Amiodaron desethyl (bloed),mg/l
TOT.EIWIT (verz. urine),g/l
Tot.Sperm. (semen),10^6
TOT.STIKST (verz. urine),g/l
Tot.WBC*10^8 (overig),10^8
Totaal Amitrypt + Nortrip (bloed),mg/l
Totaal Eiwit (overig),g/l
Totaal Eiwit (urine),g/l
Totaal Eiwit (verz. urine),g/24uur
Totaal Eiwit ascitesvocht (ascitesvocht),g/l
Totaal Eiwit dialysaat (dialysaat),g/l
Totaal Eiwit drainvocht (drain),g/l
Totaal Eiwit pleuravocht (pleurapunct.),g/l
Totaal Stikstof (faeces),g/24uur
Totaal Stikstof (urine),g/l
Totaal Tau (liquor),ng/l
Totaal Vet (faeces),g/24uur
TOX. OND.2 (bloed),mg/l
TOX. OND.3 (bloed),µg/l
TOX.ONDERZ (bloed),Geen
Toxicologisch onderzoek (bloed),mg/l
Tracheotomie KlinischEventID,None
Tracheotomie ProcessID,None
Tracheotomie Tracheostoma PendingOrderID,None
TRANSFER. (verz. urine),mg/l
Transferrine (bloed),g/l
Transferrine (urine),mg/l
Trazodon (bloed),mg/l
Trigger time out (Set),sec
Trigger/ASB(curve),mbar
Triggergevoeligheid (Set) (2),cmH2O
Triggergevoeligheid (Set),cmH2O
TriggergevoeligheidX,Geen
TRIGLYC. (overig),mmol/l
Triglyceride,mmol/l
Triglyceriden (bloed),mmol/l
Triglyceriden ascitesvocht (ascitesvocht),mmol/l
Triglyceriden drainvocht (drain),mmol/l
Trombinetijd  (bloed),sec
Trombinetijd (bloed),sec
tromboCD61 (overig),10^9/l
Troponine,ng/ml
TroponineT (bloed),µg/l
TroponineT (overig),µg/l
Tryptase (bloed),µg/l
TSH (bloed),mE/l
TSH,nmol/l
TYBC (bloed),�mol/l
TYBC/transf-verz,mmol/l
Ureum  (verz. urine),mmol/l
Ureum (bloed),mmol/l
UREUM (overig),mmol/l
Ureum (urine),mmol/l
Ureum (verz. urine),mmol/24uur
Ureum in urine,mmol/l
Ureum,mmol/l
UrineCAD,ml
UrineIncontinentie,ml
UrineSplint Li,ml
UrineSplint Re,ml
UrineSpontaan,ml
UrineSupraPubis,ml
UrineUP,ml
Urinezuur  (verz. urine),mmol/l
Urinezuur (bloed),�mol/l
URINEZUUR (divers  )-LabZis2,mmol/24uur
URINEZUUR (overig),�mol/l
Urinezuur (urine),mmol/l
Urinezuur (verz. urine),mmol/24uur
Urinezuur in urine,mmol/l
Urinezuur,mmol/l
VALPROINEZ (overig),mg/l
Valproinezuur spiegel,None
Valpro�nezuur (bloed),mg/l
Valpro�nezuur vrije fractie (bloed),mg/l
Vancomycine (bloed),mg/l
Vancomycine (liquor),mg/l
Vancomycine dal spiegel,mg/l
Vancomycine top spiegel,mg/l
VANCOMYdal (bloed),mg/l
VANCOMYonb (overig),mg/l
VANCOMYtop (bloed),mg/l
VCO2-Metabole meting,ml/min
VE(2),l/min
VE,l/min
Vec (Eind-expiratoire flow) (2),l/min
Vec (Eind-expiratoire flow),l/min
Veneuze druk braun,mmHg
Veneuze lijn KlinischEventID,None
Veneuze lijn lijn PendingOrderID,None
Veneuze lijn ProcessID,None
Venlafaxine (bloed),µg/l
Venlafaxine + Venlafaxine desmethyl (bloed),µg/l
Ventrikeldrain1 Stand,ml
Ventrikeldrain1 Uit,ml
Ventrikeldrain2 Stand,ml
Ventrikeldrain2 Uit,ml
Vervl.Na (semen),min
Verzamelperiode (faeces),uur
Verzamelperiode (verz. urine),uur
Vit-A (bloed),�mol/l
Vit-B1 (bloed),nmol/l
Vit-B12 (bloed),pmol/l
Vit-B6 (bloed),nmol/l
Vit-E (bloed),�mol/l
Vitamine B12 Bloed,pmol/l
Vitamine B6 Bloed,nmol/l
Vitamine D 25 OH (bloed),nmol/l
Vloeistofvolume ingesteld,ml
VO2-Metabole meting,ml/min
Vochtverlies ingesteld,ml/uur
Voedingsanamnese anamnestisch gewicht,kg
VOLUME (overig),ml
Volume (semen),ml
Volume (Set),l/min
Volume (verz.urine),ml
Voriconazol (bloed),mg/l
Vrij Cortisol (verz. urine),nmol/24uur
Vrij K/L ratio (bloed),Geen
Vrij PSA (bloed),µg/l
Vrij T4,pmol/l
Vrij-Kappa (bloed),mg/l
Vrij-Lambda (bloed),mg/l
Vrij-T3  (bloed),pmol/l
