icd9,icd10,description
1287,08R6XJZ,"Replacement of Right Sclera with Synthetic Substitute, External Approach"
1287,08R6XKZ,"h Replacement of Right Sclera with Nonautologous Tissue Substitute, External Approach"
1287,08R7X7Z,"Replacement of Left Sclera with Autologous Tissue Substitute, External Approach"
1287,08R7XJZ,"Replacement of Left Sclera with Synthetic Substitute, External Approach"
1287,08R7XKZ,"Replacement of Left Sclera with Nonautologous Tissue Substitute, External Approach"
1288,08Q6XZZ,"Repair Right Sclera, External Approach"
1288,08Q7XZZ,"Repair Left Sclera, External Approach"
1289,0896X0Z,"Drainage of Right Sclera with Drainage Device, External Approach"
1289,0896XZZ,"Drainage of Right Sclera, External Approach"
1289,0897X0Z,"Drainage of Left Sclera with Drainage Device, External Approach"
1289,0897XZZ,"Drainage of Left Sclera, External Approach"
1289,08Q6XZZ,"Repair Right Sclera, External Approach"
1289,08Q7XZZ,"Repair Left Sclera, External Approach"
1291,089230Z,"Drainage of Right Anterior Chamber with Drainage Device, Percutaneous Approach"
1291,08923ZZ,"Drainage of Right Anterior Chamber, Percutaneous Approach"
1291,089330Z,"Drainage of Left Anterior Chamber with Drainage Device, Percutaneous Approach"
1291,08933ZZ,"Drainage of Left Anterior Chamber, Percutaneous Approach"
1292,3E0C33Z,"Introduction of Anti-inflammatory into Eye, Percutaneous Approach"
1292,3E0C3BZ,"Introduction of Anesthetic Agent into Eye, Percutaneous Approach"
1292,3E0C3GC,"Introduction of Other Therapeutic Substance into Eye, Percutaneous Approach"
1292,3E0C3HZ,"Introduction of Radioactive Substance into Eye, Percutaneous Approach"
1292,3E0C3KZ,"Introduction of Other Diagnostic Substance into Eye, Percutaneous Approach"
1292,3E0C3SF,"Introduction of Other Gas into Eye, Percutaneous Approach"
1292,3E0C3TZ,"Introduction of Destructive Agent into Eye, Percutaneous Approach"
1293,08523ZZ,"h Destruction of Right Anterior Chamber, Percutaneous Approach"
1293,08533ZZ,"Destruction of Left Anterior Chamber, Percutaneous Approach"
1297,08QC3ZZ,"Repair Right Iris, Percutaneous Approach"
1297,08QD3ZZ,"Repair Left Iris, Percutaneous Approach"
1298,08BA0ZZ,"Excision of Right Choroid, Open Approach"
1298,08BA3ZZ,"Excision of Right Choroid, Percutaneous Approach"
1298,08BB0ZZ,"Excision of Left Choroid, Open Approach"
1298,08BB3ZZ,"Excision of Left Choroid, Percutaneous Approach"
1298,08QA0ZZ,"Repair Right Choroid, Open Approach"
1298,08QA3ZZ,"Repair Right Choroid, Percutaneous Approach"
1298,08QB0ZZ,"Repair Left Choroid, Open Approach"
1298,08QB3ZZ,"Repair Left Choroid, Percutaneous Approach"
1299,08Q23ZZ,"Repair Right Anterior Chamber, Percutaneous Approach"
1299,08Q33ZZ,"Repair Left Anterior Chamber, Percutaneous Approach"
1300,08CJ3ZZ,"h Extirpation of Matter from Right Lens, Percutaneous Approach"
1300,08CK3ZZ,"Extirpation of Matter from Left Lens, Percutaneous Approach"
1301,08CJXZZ,"Extirpation of Matter from Right Lens, External Approach"
1301,08CKXZZ,"Extirpation of Matter from Left Lens, External Approach"
1302,08CJ3ZZ,"h Extirpation of Matter from Right Lens, Percutaneous Approach"
1302,08CK3ZZ,"Extirpation of Matter from Left Lens, Percutaneous Approach"
1311,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1311,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1319,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1319,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
132,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
132,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
133,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
133,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1341,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1341,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1342,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1342,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1343,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1343,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1351,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1351,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1359,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1359,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1364,085J3ZZ,"Destruction of Right Lens, Percutaneous Approach"
1364,085K3ZZ,"Destruction of Left Lens, Percutaneous Approach"
1365,08BJ3ZZ,"Excision of Right Lens, Percutaneous Approach"
1365,08BK3ZZ,"Excision of Left Lens, Percutaneous Approach"
1366,08BJ3ZZ,"Excision of Right Lens, Percutaneous Approach"
1366,08BK3ZZ,"Excision of Left Lens, Percutaneous Approach"
1369,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1369,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1370,08RJ3JZ,"Replacement of Right Lens with Synthetic Substitute, Percutaneous Approach"
1370,08RK3JZ,"Replacement of Left Lens with Synthetic Substitute, Percutaneous Approach"
1371,08RJ3JZ,"Replacement of Right Lens with Synthetic Substitute, Percutaneous Approach"
1371,08RK3JZ,"Replacement of Left Lens with Synthetic Substitute, Percutaneous Approach"
1372,08RJ3JZ,"Replacement of Right Lens with Synthetic Substitute, Percutaneous Approach"
1372,08RK3JZ,"Replacement of Left Lens with Synthetic Substitute, Percutaneous Approach"
138,08PJ3JZ,"Removal of Synthetic Substitute from Right Lens, Percutaneous Approach"
138,08PK3JZ,"Removal of Synthetic Substitute from Left Lens, Percutaneous Approach"
1390,08PJ3YZ,"Removal of Other Device from Right Lens, Percutaneous Approach"
1390,08PK3YZ,"Removal of Other Device from Left Lens, Percutaneous Approach"
1390,08QJ3ZZ,"Repair Right Lens, Percutaneous Approach"
1390,08QK3ZZ,"Repair Left Lens, Percutaneous Approach"
1390,08WJ3YZ,"Revision of Other Device in Right Lens, Percutaneous Approach"
1390,08WK3YZ,"h Revision of Other Device in Left Lens, Percutaneous Approach"
1391,08RJ30Z,"Replacement of Right Lens with Intraocular Telescope, Percutaneous Approach"
1391,08RK30Z,"h Replacement of Left Lens with Intraocular Telescope, Percutaneous Approach"
1400,08C43ZZ,"Extirpation of Matter from Right Vitreous, Percutaneous Approach"
1400,08C53ZZ,"Extirpation of Matter from Left Vitreous, Percutaneous Approach"
1400,08CA0ZZ,"Extirpation of Matter from Right Choroid, Open Approach"
1400,08CA3ZZ,"Extirpation of Matter from Right Choroid, Percutaneous Approach"
1400,08CB0ZZ,"Extirpation of Matter from Left Choroid, Open Approach"
1400,08CB3ZZ,"Extirpation of Matter from Left Choroid, Percutaneous Approach"
1400,08CE3ZZ,"Extirpation of Matter from Right Retina, Percutaneous Approach"
1400,08CF3ZZ,"Extirpation of Matter from Left Retina, Percutaneous Approach"
1401,08C4XZZ,"h Extirpation of Matter from Right Vitreous, External Approach"
1401,08C5XZZ,"Extirpation of Matter from Left Vitreous, External Approach"
1401,08CAXZZ,"Extirpation of Matter from Right Choroid, External Approach"
1401,08CBXZZ,"Extirpation of Matter from Left Choroid, External Approach"
1401,08CCXZZ,"Extirpation of Matter from Right Iris, External Approach"
1401,08CDXZZ,"Extirpation of Matter from Left Iris, External Approach"
1401,08CEXZZ,"Extirpation of Matter from Right Retina, External Approach"
1401,08CFXZZ,"Extirpation of Matter from Left Retina, External Approach"
1401,08CGXZZ,"h Extirpation of Matter from Right Retinal Vessel, External Approach"
1401,08CHXZZ,"h Extirpation of Matter from Left Retinal Vessel, External Approach"
1401,08CLXZZ,"h Extirpation of Matter from Right Extraocular Muscle, External Approach"
1401,08CMXZZ,"h Extirpation of Matter from Left Extraocular Muscle, External Approach"
1401,08CVXZZ,"Extirpation of Matter from Right Lacrimal Gland, External Approach"
1401,08CWXZZ,"Extirpation of Matter from Left Lacrimal Gland, External Approach"
1402,08C43ZZ,"Extirpation of Matter from Right Vitreous, Percutaneous Approach"
1402,08C53ZZ,"Extirpation of Matter from Left Vitreous, Percutaneous Approach"
1402,08CA0ZZ,"Extirpation of Matter from Right Choroid, Open Approach"
1402,08CA3ZZ,"Extirpation of Matter from Right Choroid, Percutaneous Approach"
1402,08CB0ZZ,"Extirpation of Matter from Left Choroid, Open Approach"
1402,08CB3ZZ,"Extirpation of Matter from Left Choroid, Percutaneous Approach"
1402,08CE3ZZ,"Extirpation of Matter from Right Retina, Percutaneous Approach"
1402,08CF3ZZ,"Extirpation of Matter from Left Retina, Percutaneous Approach"
1411,08943ZX,"Drainage of Right Vitreous, Percutaneous Approach, Diagnostic"
1411,08953ZX,"c Drainage of Left Vitreous, Percutaneous Approach, Diagnostic"
1419,089A0ZX,"Drainage of Right Choroid, Open Approach, Diagnostic"
1419,089A3ZX,"c Drainage of Right Choroid, Percutaneous Approach, Diagnostic"
1419,089B0ZX,"Drainage of Left Choroid, Open Approach, Diagnostic"
1419,089B3ZX,"Drainage of Left Choroid, Percutaneous Approach, Diagnostic"
1419,089E3ZX,"Drainage of Right Retina, Percutaneous Approach, Diagnostic"
1419,089F3ZX,"Drainage of Left Retina, Percutaneous Approach, Diagnostic"
1419,089G3ZX,"Drainage of Right Retinal Vessel, Percutaneous Approach, Diagnostic"
1419,089H3ZX,"Drainage of Left Retinal Vessel, Percutaneous Approach, Diagnostic"
1419,08B43ZX,"Excision of Right Vitreous, Percutaneous Approach, Diagnostic"
1419,08B53ZX,"c Excision of Left Vitreous, Percutaneous Approach, Diagnostic"
1419,08BA0ZX,"Excision of Right Choroid, Open Approach, Diagnostic"
1419,08BA3ZX,"c Excision of Right Choroid, Percutaneous Approach, Diagnostic"
1419,08BB0ZX,"Excision of Left Choroid, Open Approach, Diagnostic"
1419,08BB3ZX,"Excision of Left Choroid, Percutaneous Approach, Diagnostic"
1419,08BE3ZX,"Excision of Right Retina, Percutaneous Approach, Diagnostic"
1419,08BF3ZX,"Excision of Left Retina, Percutaneous Approach, Diagnostic"
1421,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1421,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1422,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1422,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1423,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1423,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1424,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1424,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1425,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1425,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1426,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1426,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1427,08H031Z,"Insertion of Radioactive Element into Right Eye, Percutaneous Approach"
1427,08H0X1Z,"h Insertion of Radioactive Element into Right Eye, External Approach"
1427,08H131Z,"Insertion of Radioactive Element into Left Eye, Percutaneous Approach"
1427,08H1X1Z,"h Insertion of Radioactive Element into Left Eye, External Approach"
1429,085E3ZZ,"Destruction of Right Retina, Percutaneous Approach"
1429,085F3ZZ,"Destruction of Left Retina, Percutaneous Approach"
1429,08BE3ZZ,"Excision of Right Retina, Percutaneous Approach"
1429,08BF3ZZ,"Excision of Left Retina, Percutaneous Approach"
1431,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1431,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1432,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1432,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1433,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1433,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1434,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1434,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1435,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1435,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1439,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1439,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1441,08U00JZ,"Supplement of Right Eye with Synthetic Substitute, Open Approach"
1441,08U03JZ,"Supplement of Right Eye with Synthetic Substitute, Percutaneous Approach"
1441,08U10JZ,"Supplement of Left Eye with Synthetic Substitute, Open Approach"
1441,08U13JZ,"Supplement of Left Eye with Synthetic Substitute, Percutaneous Approach"
1441,08UE0JZ,"Supplement Right Retina with Synthetic Substitute, Open Approach"
1441,08UE3JZ,"Supplement Right Retina with Synthetic Substitute, Percutaneous Approach"
1441,08UF0JZ,"Supplement Left Retina with Synthetic Substitute, Open Approach"
1441,08UF3JZ,"Supplement Left Retina with Synthetic Substitute, Percutaneous Approach"
1449,08B43ZZ,"Excision of Right Vitreous, Percutaneous Approach"
1449,08B53ZZ,"Excision of Left Vitreous, Percutaneous Approach"
1449,08B6XZZ,"Excision of Right Sclera, External Approach"
1449,08B7XZZ,"Excision of Left Sclera, External Approach"
1449,3E0CXSF,"Introduction of Other Gas into Eye, External Approach"
1451,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1451,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1452,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1452,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1453,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1453,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1454,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1454,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1455,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1455,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1459,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
1459,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1459,3E0C3GC,"Introduction of Other Therapeutic Substance into Eye, Percutaneous Approach"
146,08P03JZ,"Removal of Synthetic Substitute from Right Eye, Percutaneous Approach"
146,08P13JZ,"h Removal of Synthetic Substitute from Left Eye, Percutaneous Approach"
1471,08R437Z,"Replacement of Right Vitreous with Autologous Tissue Substitute, Percutaneous Approach"
1471,08R43JZ,"Replacement of Right Vitreous with Synthetic Substitute, Percutaneous Approach"
1471,08R43KZ,"h Replacement of Right Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach"
1471,08R537Z,"Replacement of Left Vitreous with Autologous Tissue Substitute, Percutaneous Approach"
1471,08R53JZ,"Replacement of Left Vitreous with Synthetic Substitute, Percutaneous Approach"
1471,08R53KZ,"Replacement of Left Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach"
1472,089430Z,"Drainage of Right Vitreous with Drainage Device, Percutaneous Approach"
1472,08943ZZ,"Drainage of Right Vitreous, Percutaneous Approach"
1472,089530Z,"Drainage of Left Vitreous with Drainage Device, Percutaneous Approach"
1472,08953ZZ,"Drainage of Left Vitreous, Percutaneous Approach"
1473,08B43ZZ,"Excision of Right Vitreous, Percutaneous Approach"
1473,08B53ZZ,"Excision of Left Vitreous, Percutaneous Approach"
1473,08T43ZZ,"Resection of Right Vitreous, Percutaneous Approach"
1473,08T53ZZ,"Resection of Left Vitreous, Percutaneous Approach"
1474,08R437Z,"Replacement of Right Vitreous with Autologous Tissue Substitute, Percutaneous Approach"
1474,08R43JZ,"Replacement of Right Vitreous with Synthetic Substitute, Percutaneous Approach"
1474,08R43KZ,"h Replacement of Right Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach"
1474,08R537Z,"Replacement of Left Vitreous with Autologous Tissue Substitute, Percutaneous Approach"
1474,08R53JZ,"Replacement of Left Vitreous with Synthetic Substitute, Percutaneous Approach"
1474,08R53KZ,"Replacement of Left Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach"
1475,3E0C3GC,"Introduction of Other Therapeutic Substance into Eye, Percutaneous Approach"
1479,08Q43ZZ,"Repair Right Vitreous, Percutaneous Approach"
1479,08Q53ZZ,"Repair Left Vitreous, Percutaneous Approach"
1481,08H005Z,"Insertion of Epiretinal Visual Prosthesis into Right Eye, Open Approach"
1481,08H105Z,"Insertion of Epiretinal Visual Prosthesis into Left Eye, Open Approach"
1482,08P00JZ,"Removal of Synthetic Substitute from Right Eye, Open Approach"
1482,08P03JZ,"Removal of Synthetic Substitute from Right Eye, Percutaneous Approach"
1482,08P10JZ,"h Removal of Synthetic Substitute from Left Eye, Open Approach"
1482,08P13JZ,"h Removal of Synthetic Substitute from Left Eye, Percutaneous Approach"
1483,08W00JZ,"h Revision of Synthetic Substitute in Right Eye, Open Approach"
1483,08W03JZ,"h Revision of Synthetic Substitute in Right Eye, Percutaneous Approach"
1483,08W10JZ,"Revision of Synthetic Substitute in Left Eye, Open Approach"
1483,08W13JZ,"Revision of Synthetic Substitute in Left Eye, Percutaneous Approach"
149,08QA0ZZ,"Repair Right Choroid, Open Approach"
149,08QA3ZZ,"Repair Right Choroid, Percutaneous Approach"
149,08QB0ZZ,"Repair Left Choroid, Open Approach"
149,08QB3ZZ,"Repair Left Choroid, Percutaneous Approach"
149,08QE3ZZ,"Repair Right Retina, Percutaneous Approach"
149,08QF3ZZ,"Repair Left Retina, Percutaneous Approach"
1501,089L0ZX,"Drainage of Right Extraocular Muscle, Open Approach, Diagnostic"
1501,089L3ZX,"Drainage of Right Extraocular Muscle, Percutaneous Approach, Diagnostic"
1501,089M0ZX,"Drainage of Left Extraocular Muscle, Open Approach, Diagnostic"
1501,089M3ZX,"Drainage of Left Extraocular Muscle, Percutaneous Approach, Diagnostic"
1501,08BL0ZX,"Excision of Right Extraocular Muscle, Open Approach, Diagnostic"
1501,08BL3ZX,"Excision of Right Extraocular Muscle, Percutaneous Approach, Diagnostic"
1501,08BM0ZX,"Excision of Left Extraocular Muscle, Open Approach, Diagnostic"
1501,08BM3ZX,"Excision of Left Extraocular Muscle, Percutaneous Approach, Diagnostic"
1509,08JL0ZZ,"Inspection of Right Extraocular Muscle, Open Approach"
1509,08JM0ZZ,"Inspection of Left Extraocular Muscle, Open Approach"
1511,08SL0ZZ,"Reposition Right Extraocular Muscle, Open Approach"
1511,08SL3ZZ,"Reposition Right Extraocular Muscle, Percutaneous Approach"
1511,08SM0ZZ,"Reposition Left Extraocular Muscle, Open Approach"
1511,08SM3ZZ,"Reposition Left Extraocular Muscle, Percutaneous Approach"
1512,08XL0ZZ,"Transfer Right Extraocular Muscle, Open Approach"
1512,08XL3ZZ,"Transfer Right Extraocular Muscle, Percutaneous Approach"
1512,08XM0ZZ,"Transfer Left Extraocular Muscle, Open Approach"
1512,08XM3ZZ,"Transfer Left Extraocular Muscle, Percutaneous Approach"
1513,08TL0ZZ,"Resection of Right Extraocular Muscle, Open Approach"
1513,08TL3ZZ,"h Resection of Right Extraocular Muscle, Percutaneous Approach"
1513,08TM0ZZ,"Resection of Left Extraocular Muscle, Open Approach"
1513,08TM3ZZ,"Resection of Left Extraocular Muscle, Percutaneous Approach"
1519,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
1519,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
1519,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
1519,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
1521,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
1521,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
1521,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
1521,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
1522,08BL0ZZ,"Excision of Right Extraocular Muscle, Open Approach"
1522,08BL3ZZ,"Excision of Right Extraocular Muscle, Percutaneous Approach"
1522,08BM0ZZ,"Excision of Left Extraocular Muscle, Open Approach"
1522,08BM3ZZ,"Excision of Left Extraocular Muscle, Percutaneous Approach"
1529,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
1529,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
1529,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
1529,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
153,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
153,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
153,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
153,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
154,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
154,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
154,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
154,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
155,08SL0ZZ,"Reposition Right Extraocular Muscle, Open Approach"
155,08SL3ZZ,"Reposition Right Extraocular Muscle, Percutaneous Approach"
155,08SM0ZZ,"Reposition Left Extraocular Muscle, Open Approach"
155,08SM3ZZ,"Reposition Left Extraocular Muscle, Percutaneous Approach"
156,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
156,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
156,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
156,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
157,08NL0ZZ,"Release Right Extraocular Muscle, Open Approach"
157,08NL3ZZ,"Release Right Extraocular Muscle, Percutaneous Approach"
157,08NM0ZZ,"Release Left Extraocular Muscle, Open Approach"
157,08NM3ZZ,"Release Left Extraocular Muscle, Percutaneous Approach"
157,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
157,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
157,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
157,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
159,08PL0YZ,"h Removal of Other Device from Right Extraocular Muscle, Open Approach"
159,08PL3YZ,"h Removal of Other Device from Right Extraocular Muscle, Percutaneous Approach"
159,08PM0YZ,"h Removal of Other Device from Left Extraocular Muscle, Open Approach"
159,08PM3YZ,"h Removal of Other Device from Left Extraocular Muscle, Percutaneous Approach"
159,08QL0ZZ,"Repair Right Extraocular Muscle, Open Approach"
159,08QL3ZZ,"Repair Right Extraocular Muscle, Percutaneous Approach"
159,08QM0ZZ,"Repair Left Extraocular Muscle, Open Approach"
159,08QM3ZZ,"Repair Left Extraocular Muscle, Percutaneous Approach"
159,08WL0YZ,"Revision of Other Device in Right Extraocular Muscle, Open Approach"
159,08WL3YZ,"Revision of Other Device in Right Extraocular Muscle, Percutaneous Approach"
159,08WM0YZ,"Revision of Other Device in Left Extraocular Muscle, Open Approach"
159,08WM3YZ,"Revision of Other Device in Left Extraocular Muscle, Percutaneous Approach"
1601,0NRP07Z,"Replacement of Right Orbit with Autologous Tissue Substitute, Open Approach"
1601,0NRP37Z,"Replacement of Right Orbit with Autologous Tissue Substitute, Percutaneous Approach"
1601,0NRP47Z,"Replacement of Right Orbit with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
1601,0NRQ07Z,"Replacement of Left Orbit with Autologous Tissue Substitute, Open Approach"
1601,0NRQ37Z,"Replacement of Left Orbit with Autologous Tissue Substitute, Percutaneous Approach"
1601,0NRQ47Z,"h Replacement of Left Orbit with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
1602,0NRP0JZ,"Replacement of Right Orbit with Synthetic Substitute, Open Approach"
1602,0NRP3JZ,"Replacement of Right Orbit with Synthetic Substitute, Percutaneous Approach"
1602,0NRP4JZ,"Replacement of Right Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach"
1602,0NRQ0JZ,"Replacement of Left Orbit with Synthetic Substitute, Open Approach"
1602,0NRQ3JZ,"Replacement of Left Orbit with Synthetic Substitute, Percutaneous Approach"
1602,0NRQ4JZ,"h Replacement of Left Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach"
1602,0NUP0JZ,"Supplement Right Orbit with Synthetic Substitute, Open Approach"
1602,0NUP3JZ,"Supplement Right Orbit with Synthetic Substitute, Percutaneous Approach"
1602,0NUP4JZ,"Supplement Right Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach"
1602,0NUQ0JZ,"Supplement Left Orbit with Synthetic Substitute, Open Approach"
1602,0NUQ3JZ,"Supplement Left Orbit with Synthetic Substitute, Percutaneous Approach"
1602,0NUQ4JZ,"Supplement Left Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach"
1609,0J810ZZ,"Division of Face Subcutaneous Tissue and Fascia, Open Approach"
1609,0J813ZZ,"Division of Face Subcutaneous Tissue and Fascia, Percutaneous Approach"
1609,0N8P0ZZ,"Division of Right Orbit, Open Approach"
1609,0N8P3ZZ,"Division of Right Orbit, Percutaneous Approach"
1609,0N8P4ZZ,"Division of Right Orbit, Percutaneous Endoscopic Approach"
1609,0N8Q0ZZ,"Division of Left Orbit, Open Approach"
1609,0N8Q3ZZ,"Division of Left Orbit, Percutaneous Approach"
1609,0N8Q4ZZ,"Division of Left Orbit, Percutaneous Endoscopic Approach"
1609,0N9P00Z,"Drainage of Right Orbit with Drainage Device, Open Approach"
1609,0N9P0ZZ,"Drainage of Right Orbit, Open Approach"
1609,0N9P40Z,"Drainage of Right Orbit with Drainage Device, Percutaneous Endoscopic Approach"
1609,0N9P4ZZ,"Drainage of Right Orbit, Percutaneous Endoscopic Approach"
1609,0N9Q00Z,"Drainage of Left Orbit with Drainage Device, Open Approach"
1609,0N9Q0ZZ,"Drainage of Left Orbit, Open Approach"
1609,0N9Q40Z,"Drainage of Left Orbit with Drainage Device, Percutaneous Endoscopic Approach"
1609,0N9Q4ZZ,"Drainage of Left Orbit, Percutaneous Endoscopic Approach"
161,08C0XZZ,"Extirpation of Matter from Right Eye, External Approach"
161,08C1XZZ,"Extirpation of Matter from Left Eye, External Approach"
1621,08J0XZZ,"Inspection of Right Eye, External Approach"
1621,08J1XZZ,"Inspection of Left Eye, External Approach"
1622,0N9P3ZX,"Drainage of Right Orbit, Percutaneous Approach, Diagnostic"
1622,0N9Q3ZX,"Drainage of Left Orbit, Percutaneous Approach, Diagnostic"
1623,08B00ZX,"Excision of Right Eye, Open Approach, Diagnostic"
1623,08B03ZX,"Excision of Right Eye, Percutaneous Approach, Diagnostic"
1623,08B0XZX,"Excision of Right Eye, External Approach, Diagnostic"
1623,08B10ZX,"Excision of Left Eye, Open Approach, Diagnostic"
1623,08B13ZX,"Excision of Left Eye, Percutaneous Approach, Diagnostic"
1623,08B1XZX,"Excision of Left Eye, External Approach, Diagnostic"
1623,0NBP0ZX,"Excision of Right Orbit, Open Approach, Diagnostic"
1623,0NBP3ZX,"Excision of Right Orbit, Percutaneous Approach, Diagnostic"
1623,0NBP4ZX,"Excision of Right Orbit, Percutaneous Endoscopic Approach, Diagnostic"
1623,0NBQ0ZX,"Excision of Left Orbit, Open Approach, Diagnostic"
1623,0NBQ3ZX,"Excision of Left Orbit, Percutaneous Approach, Diagnostic"
1623,0NBQ4ZX,"Excision of Left Orbit, Percutaneous Endoscopic Approach, Diagnostic"
1629,0890XZX,"Drainage of Right Eye, External Approach, Diagnostic"
1629,0891XZX,"Drainage of Left Eye, External Approach, Diagnostic"
1629,0N9P0ZX,"Drainage of Right Orbit, Open Approach, Diagnostic"
1629,0N9P4ZX,"Drainage of Right Orbit, Percutaneous Endoscopic Approach, Diagnostic"
1629,0N9Q0ZX,"Drainage of Left Orbit, Open Approach, Diagnostic"
