icd9,icd10,description
14,3E01328,"Introduction of Oxazolidinones into Subcutaneous Tissue, Percutaneous Approach"
14,3E02328,"Introduction of Oxazolidinones into Muscle, Percutaneous Approach"
14,3E03028,"Introduction of Oxazolidinones into Peripheral Vein, Open Approach"
14,3E03328,"Introduction of Oxazolidinones into Peripheral Vein, Percutaneous Approach"
14,3E04028,"h Introduction of Oxazolidinones into Central Vein, Open Approach"
14,3E04328,"h Introduction of Oxazolidinones into Central Vein, Percutaneous Approach"
14,3E05028,"Introduction of Oxazolidinones into Peripheral Artery, Open Approach"
14,3E05328,"Introduction of Oxazolidinones into Peripheral Artery, Percutaneous Approach"
14,3E06028,"Introduction of Oxazolidinones into Central Artery, Open Approach"
14,3E06328,"Introduction of Oxazolidinones into Central Artery, Percutaneous Approach"
14,3E09328,"Introduction of Oxazolidinones into Nose, Percutaneous Approach"
14,3E09728,"Introduction of Oxazolidinones into Nose, Via Natural or Artificial Opening"
14,3E09X28,"Introduction of Oxazolidinones into Nose, External Approach"
14,3E0B328,"Introduction of Oxazolidinones into Ear, Percutaneous Approach"
14,3E0B728,"Introduction of Oxazolidinones into Ear, Via Natural or Artificial Opening"
14,3E0BX28,"Introduction of Oxazolidinones into Ear, External Approach"
14,3E0C328,"Introduction of Oxazolidinones into Eye, Percutaneous Approach"
14,3E0C728,"Introduction of Oxazolidinones into Eye, Via Natural or Artificial Opening"
14,3E0CX28,"Introduction of Oxazolidinones into Eye, External Approach"
14,3E0D328,"Introduction of Oxazolidinones into Mouth and Pharynx, Percutaneous Approach"
14,3E0D728,"Introduction of Oxazolidinones into Mouth and Pharynx, Via Natural or Artificial Opening"
14,3E0DX28,"h Introduction of Oxazolidinones into Mouth and Pharynx, External Approach"
14,3E0E328,"Introduction of Oxazolidinones into Products of Conception, Percutaneous Approach"
14,3E0E728,"Introduction of Oxazolidinones into Products of Conception, Via Natural or Artificial Opening"
14,3E0E828,"Introduction of Oxazolidinones into Products of Conception, Via Natural or Artificial Opening Endoscopic"
14,3E0F328,"Introduction of Oxazolidinones into Respiratory Tract, Percutaneous Approach"
14,3E0F728,"Introduction of Oxazolidinones into Respiratory Tract, Via Natural or Artificial Opening"
14,3E0F828,"Introduction of Oxazolidinones into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
14,3E0G328,"Introduction of Oxazolidinones into Upper GI, Percutaneous Approach"
14,3E0G728,"Introduction of Oxazolidinones into Upper GI, Via Natural or Artificial Opening"
14,3E0G828,"Introduction of Oxazolidinones into Upper GI, Via Natural or Artificial Opening Endoscopic"
14,3E0H328,"Introduction of Oxazolidinones into Lower GI, Percutaneous Approach"
14,3E0H728,"Introduction of Oxazolidinones into Lower GI, Via Natural or Artificial Opening"
14,3E0H828,"Introduction of Oxazolidinones into Lower GI, Via Natural or Artificial Opening Endoscopic"
14,3E0J328,"Introduction of Oxazolidinones into Biliary and Pancreatic Tract, Percutaneous Approach"
14,3E0J728,"g Introduction of Oxazolidinones into Biliary and Pancreatic Tract, Via Natural or Artificial Opening"
14,3E0J828,"Introduction of Oxazolidinones into Biliary and Pancreatic Tract, Via Natural or Artificial Opening Endoscopic"
14,3E0K328,"Introduction of Oxazolidinones into Genitourinary Tract, Percutaneous Approach"
14,3E0K728,"Introduction of Oxazolidinones into Genitourinary Tract, Via Natural or Artificial Opening"
14,3E0K828,"Introduction of Oxazolidinones into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
14,3E0L328,"Introduction of Oxazolidinones into Pleural Cavity, Percutaneous Approach"
14,3E0M328,"Introduction of Oxazolidinones into Peritoneal Cavity, Percutaneous Approach"
14,3E0N328,"Introduction of Oxazolidinones into Male Reproductive, Percutaneous Approach"
14,3E0N728,"g Introduction of Oxazolidinones into Male Reproductive, Via Natural or Artificial Opening"
14,3E0N828,"Introduction of Oxazolidinones into Male Reproductive, Via Natural or Artificial Opening Endoscopic"
14,3E0P328,"Introduction of Oxazolidinones into Female Reproductive, Percutaneous Approach"
14,3E0P728,"Introduction of Oxazolidinones into Female Reproductive, Via Natural or Artificial Opening"
14,3E0P828,"Introduction of Oxazolidinones into Female Reproductive, Via Natural or Artificial Opening Endoscopic"
14,3E0Q028,"Introduction of Oxazolidinones into Cranial Cavity and Brain, Open Approach"
14,3E0Q328,"Introduction of Oxazolidinones into Cranial Cavity and Brain, Percutaneous Approach"
14,3E0R328,"h Introduction of Oxazolidinones into Spinal Canal, Percutaneous Approach"
14,3E0S328,"Introduction of Oxazolidinones into Epidural Space, Percutaneous Approach"
14,3E0U028,"Introduction of Oxazolidinones into Joints, Open Approach"
14,3E0U328,"Introduction of Oxazolidinones into Joints, Percutaneous Approach"
14,3E0V328,"Introduction of Oxazolidinones into Bones, Percutaneous Approach"
14,3E0W328,"Introduction of Oxazolidinones into Lymphatics, Percutaneous Approach"
14,3E0Y328,"h Introduction of Oxazolidinones into Pericardial Cavity, Percutaneous Approach"
15,3E03002,"Introduction of High-dose Interleukin-2 into Peripheral Vein, Open Approach"
15,3E03302,"Introduction of High-dose Interleukin-2 into Peripheral Vein, Percutaneous Approach"
15,3E04002,"h Introduction of High-dose Interleukin-2 into Central Vein, Open Approach"
15,3E04302,"h Introduction of High-dose Interleukin-2 into Central Vein, Percutaneous Approach"
15,3E05002,"Introduction of High-dose Interleukin-2 into Peripheral Artery, Open Approach"
15,3E05302,"Introduction of High-dose Interleukin-2 into Peripheral Artery, Percutaneous Approach"
15,3E06002,"Introduction of High-dose Interleukin-2 into Central Artery, Open Approach"
15,3E06302,"Introduction of High-dose Interleukin-2 into Central Artery, Percutaneous Approach"
15,3E0R302,"h Introduction of High-dose Interleukin-2 into Spinal Canal, Percutaneous Approach"
15,3E0S302,"Introduction of High-dose Interleukin-2 into Epidural Space, Percutaneous Approach"
16,NoPCS,
17,3E030XZ,"Introduction of Vasopressor into Peripheral Vein, Open Approach"
17,3E033XZ,"Introduction of Vasopressor into Peripheral Vein, Percutaneous Approach"
17,3E040XZ,"h Introduction of Vasopressor into Central Vein, Open Approach"
17,3E043XZ,"h Introduction of Vasopressor into Central Vein, Percutaneous Approach"
17,3E050XZ,"Introduction of Vasopressor into Peripheral Artery, Open Approach"
17,3E053XZ,"Introduction of Vasopressor into Peripheral Artery, Percutaneous Approach"
17,3E060XZ,"Introduction of Vasopressor into Central Artery, Open Approach"
17,3E063XZ,"Introduction of Vasopressor into Central Artery, Percutaneous Approach"
18,3E00X0M,"Introduction of Monoclonal Antibody into Skin and Mucous Membranes, External Approach"
18,3E0130M,"Introduction of Monoclonal Antibody into Subcutaneous Tissue, Percutaneous Approach"
18,3E0230M,"Introduction of Monoclonal Antibody into Muscle, Percutaneous Approach"
18,3E0300M,"Introduction of Monoclonal Antibody into Peripheral Vein, Open Approach"
18,3E030WL,"n Introduction of Immunosuppressive into Peripheral Vein, Open"
18,3E0330M,"Introduction of Monoclonal Antibody into Peripheral Vein, Percutaneous Approach"
18,3E033WL,"c Introduction of Immunosuppressive into Peripheral Vein, Percutaneous"
18,3E0400M,"Introduction of Monoclonal Antibody into Central Vein, Open Approach"
18,3E040WL,"Introduction of Immunosuppressive into Central Vein, Open"
18,3E0430M,"Introduction of Monoclonal Antibody into Central Vein, Percutaneous Approach"
18,3E043WL,"Introduction of Immunosuppressive into Central Vein, Percutaneous"
18,3E0500M,"Introduction of Monoclonal Antibody into Peripheral Artery, Open Approach"
18,3E050WL,"Introduction of Immunosuppressive into Peripheral Artery, Open"
18,3E0530M,"Introduction of Monoclonal Antibody into Peripheral Artery, Percutaneous Approach"
18,3E053WL,"Introduction of Immunosuppressive into Peripheral Artery, Percutaneous"
18,3E0600M,"Introduction of Monoclonal Antibody into Central Artery, Open Approach"
18,3E060WL,"Introduction of Immunosuppressive into Central Artery, Open"
18,3E0630M,"Introduction of Monoclonal Antibody into Central Artery, Percutaneous Approach"
18,3E063WL,"Introduction of Immunosuppressive into Central Artery, Percutaneous"
18,3E0930M,"h Introduction of Monoclonal Antibody into Nose, Percutaneous Approach"
18,3E0970M,"Introduction of Monoclonal Antibody into Nose, Via Natural or Artificial Opening"
18,3E09X0M,"Introduction of Monoclonal Antibody into Nose, External Approach"
18,3E0A30M,"Introduction of Monoclonal Antibody into Bone Marrow, Percutaneous Approach"
18,3E0B30M,"Introduction of Monoclonal Antibody into Ear, Percutaneous Approach"
18,3E0B70M,"Introduction of Monoclonal Antibody into Ear, Via Natural or Artificial Opening"
18,3E0BX0M,"Introduction of Monoclonal Antibody into Ear, External Approach"
18,3E0C30M,"Introduction of Monoclonal Antibody into Eye, Percutaneous Approach"
18,3E0C70M,"Introduction of Monoclonal Antibody into Eye, Via Natural or Artificial Opening"
18,3E0CX0M,"Introduction of Monoclonal Antibody into Eye, External Approach"
18,3E0D30M,"Introduction of Monoclonal Antibody into Mouth and Pharynx, Percutaneous Approach"
18,3E0D70M,"Introduction of Monoclonal Antibody into Mouth and Pharynx, Via Natural or Artificial Opening"
18,3E0DX0M,"Introduction of Monoclonal Antibody into Mouth and Pharynx, External Approach"
18,3E0E30M,"Introduction of Monoclonal Antibody into Products of Conception, Percutaneous Approach"
18,3E0E70M,"Introduction of Monoclonal Antibody into Products of Conception, Via Natural or Artificial Opening"
18,3E0E80M,"Introduction of Monoclonal Antibody into Products of Conception, Via Natural or Artificial Opening Endoscopic"
18,3E0F30M,"Introduction of Monoclonal Antibody into Respiratory Tract, Percutaneous Approach"
18,3E0F70M,"Introduction of Monoclonal Antibody into Respiratory Tract, Via Natural or Artificial Opening"
18,3E0F80M,"Introduction of Monoclonal Antibody into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
18,3E0G30M,"Introduction of Monoclonal Antibody into Upper GI, Percutaneous Approach"
18,3E0G70M,"Introduction of Monoclonal Antibody into Upper GI, Via Natural or Artificial Opening"
18,3E0G80M,"Introduction of Monoclonal Antibody into Upper GI, Via Natural or Artificial Opening Endoscopic"
18,3E0H30M,"Introduction of Monoclonal Antibody into Lower GI, Percutaneous Approach"
18,3E0H70M,"g Introduction of Monoclonal Antibody into Lower GI, Via Natural or Artificial Opening"
18,3E0H80M,"Introduction of Monoclonal Antibody into Lower GI, Via Natural or Artificial Opening Endoscopic"
18,3E0J30M,"Introduction of Monoclonal Antibody into Biliary and Pancreatic Tract, Percutaneous Approach"
18,3E0J70M,"g Introduction of Monoclonal Antibody into Biliary and Pancreatic Tract, Via Natural or Artificial Opening"
18,3E0J80M,"Introduction of Monoclonal Antibody into Biliary and Pancreatic Tract, Via Natural or Artificial Opening Endoscopic"
18,3E0K30M,"Introduction of Monoclonal Antibody into Genitourinary Tract, Percutaneous Approach"
18,3E0K70M,"Introduction of Monoclonal Antibody into Genitourinary Tract, Via Natural or Artificial Opening"
18,3E0K80M,"Introduction of Monoclonal Antibody into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
18,3E0L30M,"Introduction of Monoclonal Antibody into Pleural Cavity, Percutaneous Approach"
18,3E0L70M,"Introduction of Monoclonal Antibody into Pleural Cavity, Via Natural or Artificial Opening"
18,3E0M30M,"Introduction of Monoclonal Antibody into Peritoneal Cavity, Percutaneous Approach"
