ReferenceValue
ADENOsin
AJMALin
AMIOdaron
Abciximab
Acenocoumarol
Acetazolamid
Acetylcystein
Acetylsalicylat
Acetylsalicyls
Acitretin
Acyclovir
Agomelatin
Aktivkohle
Alfentanil
Allopurinol
Alpha-Liponsaeure
Alprazolam
Alprostadil
Alteplase
Amantadinsulfat
Ambrisentan
Amikacin
Amilorid+HCT
Aminosteril Hepa 8%
Amitriptylin
Amlodipin
Amlodipin besilat+Valsartan+HCT
Amoxicillin/Clavulans
Amphotericin B
Ampicillin
Ampicillin/Sulbactam
Anastrozol
Andexanet alfa
Anexate
Anidulafungin
Antithrombin III
Apixaban
Aprepitant
Argatroban
Aripiprazol
Atenolol
Atorvastatin
Atracurium
Atropin sulfuricum
Azathioprin
Azithromycin
Aztreonam
BUPivacain 0.5%
BUPivacain 0.5% hyperbar
Baclofen
Beclometason und Formeterol
Benzydamin
Betamethason
Bezafibrat
Bicalutamid
Biperidin
Biperidin Ret.
Bisacodyl
Bisoprolol
Bisoprolol fumarat
Bisoprolol+HCT
Bisoprolol-hemi-fumarat
Bivalirudin
Bosentan-1-Wasser
Botox
"Braunol 7,5% 1"
Brinzolamid
Brivaracetam
Bromazepam
Brotizolam
Budesonid
Budesonid und Formeterol
Buprenorphin
Bupropion
CLEMAstin
Cabergolin
Cafedrin-Theodrenalin
Calcitriol
Calcium gluc.
Calcium/Vit D
Calciumglukonat 10%
Candesartan
Candesartan +HCT
Cannabidiol orale L
Captopril
Carbamazepin
Carbetocin
Caroverin
Carvedilol
Caspofungin
Cefazolin
Cefepim
Cefotaxim
Cefpirom sulfat
Ceftazidim
Ceftriaxon
Cefuroxim
Celecoxib
Cetrimid und Carbopol
Cetylpyridinium
Cetylpyridinium chlorid 1-Wasser
Chlorhexamed
Chlorhexidin
Chloroquin
Chlorprothixen
Ciclesonid
Ciclosporin
Cilazapril
Cinacalcet hydrochlorid
Ciprofloxacin
Cisatracurium
Cisatracurium besilat
Citalopram
Clarithromycin
Clindamycin
CloNIDin
Clobazam
Clomipramin
ClonazePAM
Clopidogrel
Coenzym Q10
Colistimethat
Colistin
Cyanocobolamin
Cyclophosphamid
Cyclosporin A
DEXAmethason
DOBUtamin
DOPamin
Dabigatran
Dalteparin
Danaparoid
Dantrolen
Dapagliflozin
Dapagliflozin+Metformin hydrochlorid 5/1000
Dapagliflozin+Metformin hydrochlorid 5/850
Daptomycin
Darunavir
Dehydroepiandrosteron
Desitin Salbe
Desloratadin
DesmoPRESSINazetat
Dexmedetomidin
Dexpanthenol
Diazepam
Diclofenac
Diclofenac+Orphenadrincitrat
Digitoxin
DihydrALAZIN
Dihydrocodein
Diltiazem
Dimetinden maleat
Diphenhydramin
Distigmin
Domperidon
Donepezil
Doripenem
Doxazosin
Doxycyclin
Doxycyclin monohydrat
Dronedaron hydrochlorid
Droperidol
Duloxetin
Dutasterid
EPINEPHrin
Econazol
Efavirenz
Eisen II
Eisen III
Eisen Saccharose
Enalapril
Enalapril maleat
Enalapril maleat+HCT
Enalapril+HCT
Enoxaparin prophylakt.
Enoxaparin therapeut.
Enterococcus SF 68
Ephedrin
Eplerenon
Eprosartan
Eprosartan+HCT
Ertapenem
Erythromycin
Erythropoetin
Escitalopram
Eslicarbazepin
Esmolol
Esomeprazol
Estradiol+Dydrogesteron
Etacrynsaeure
Ethambutol
Etilefrin
Etomidate
Everolimus
Excicial Hydrocreme
Excipial U Hydrolotio
Exemestan
Extractum fructus silybi mariani siccum
Ezetimib
Ezetimib+Simvastatin
FUROsemid
Faktor VIIa
Fenofibrat
FentaNYL
Fibrinogen
Filgrastim
Finasterid
Fisch
Flavonoidfraktion
Flecainid
Flucloxacillin
Fluconazol
Fludrocortison
Flumazenil
Flunitrazepam
Fluoxetin
Flupentixol+Melitracen
Fluticason
Fluvastatin
Fols
Fondaparinux
Formoterol-fumarat-dihydrat
Fosfomycin
Fosinopril Natrium
Furosemid+Spironolacton
Fusidins
Gabapentin
Galantamin
Ganciclovir
Gentamycin
Gentamycinsulfat
Gerinnungsfaktor XIII
"Gerinnungsfaktoren II, VI, IX, X"
Ginkgoblatt Trockenextrakt
Gliclazid
Glimepirid
Gliquidon
Glucagon hydrochlorid
Glucose-1-Phosphat
Glutamin
Glyceroltrinitrat
Glycopyrronium
Glyzeroltrinitrat
H
HCT + Amilorid
HYDROmorphon
HYDROmorphon retard
Haloperidol
Heparin
HuG-CSF
Hydrochlorothiazid
Hydrochlorothiazid+Ramipril
Hydrocortison
Hydroxycarbamid
Hydroxychloroquin
Hydroxyzin
Hyoscin-N-Butylbromid
Ibuprofen
Idarucizumab
Iloprost
Imatinib mesilat
Imipenem/Cilastin
Immunglobulin
Indapamid
Inotyol Salbe
Insulin
Insulin glargin
Insulin lispro
Insulin-Aspart-Protamin-Kristall 30/70
Insulin-Aspart-Protamin-Kristall 50/50
Insulin-Aspart-Protamin-Kristall 70/30
Insulin-Isophan
Ipratroprium und Fenoterol
Ipratropriumbromid
Irbesartan +HCT
Irbesartan+HCT
Isoniazid
Isoprenalin
Isosorbid dinitrat
Ivabradin
KETAmin
Kalium
Kalium jodid+Levothyroxin natrium
Kaliumcanrenoat
Kaliumchlorid
Kybernin P
L-Carnitin
L-Methionin
