ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
50908,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,CK-MB Index,Blood,Chemistry,20569-0,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,False,49136-5,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma
51080,Creatinine renal clearance in Urine and Serum or Plasma collected for unspecified duration,Creatinine Clearance,Urine,Chemistry,33558-8,Creatinine renal clearance in Urine and Serum or Plasma collected for unspecified duration,False,2164-2,Creatinine renal clearance in 24 hour Urine and Serum or Plasma
51473,Crystals [type] in Urine sediment by Light microscopy,Cysteine Crystals,Urine,Hematology,5782-8,Crystals [type] in Urine sediment by Light microscopy,False,5784-4,Cystine crystals [Presence] in Urine sediment by Light microscopy
50918,DNA double strand Ab [Units/volume] in Serum,Double Stranded DNA,Blood,Chemistry,5130-0,DNA double strand Ab [Units/volume] in Serum,False,31348-6,DNA double strand Ab [Presence] in Serum
51180,Deprecated CD4 cells [#/volume] in Blood,"CD4 Cells, Percent",Blood,Hematology,8127-3,Deprecated CD4 cells [#/volume] in Blood,False,8123-2,CD3+CD4+ (T4 helper) cells/100 cells in Blood
51131,Deprecated CD4 cells/100 cells in Blood,Absolute CD4 Count,Blood,Hematology,8128-1,Deprecated CD4 cells/100 cells in Blood,False,24467-3,CD3+CD4+ (T4 helper) cells [#/volume] in Blood
51323,Deprecated CD4 cells/100 cells in Bone marrow,CD4,Bone Marrow,Hematology,51301-0,Deprecated CD4 cells/100 cells in Bone marrow,False,32533-2,CD3+CD4+ (T4 helper) cells/100 cells in Bone marrow
51181,Deprecated CD4 cells/CD8 Cells [# Ratio] in Blood,CD4/CD8 Ratio,Blood,Hematology,8129-9,Deprecated CD4 cells/CD8 Cells [# Ratio] in Blood,False,54218-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood
51194,Deprecated CD8 cells [#/volume] in Blood,"CD8 Cells, Percent",Blood,Hematology,8137-2,Deprecated CD8 cells [#/volume] in Blood,False,8101-8,CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood
51132,Deprecated CD8 cells/100 cells in Blood,Absolute CD8 Count,Blood,Hematology,8138-0,Deprecated CD8 cells/100 cells in Blood,False,14135-8,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood
50905,Deprecated Cholesterol.in LDL [Mass/volume] in Serum or Plasma,"Cholesterol, LDL, Calculated",Blood,Chemistry,2090-9,Deprecated Cholesterol.in LDL [Mass/volume] in Serum or Plasma,False,13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
51010,Deprecated Cobalamin [Mass/volume] in Serum,Vitamin B12,Blood,Chemistry,2170-9,Deprecated Cobalamin [Mass/volume] in Serum,False,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma
50911,Deprecated Creatine kinase.MB,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry,6773-6,Deprecated Creatine kinase.MB,False,13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma
51237,Deprecated INR in Platelet poor plasma by Coagulation assay,INR(PT),Blood,Hematology,5895-7,Deprecated INR in Platelet poor plasma by Coagulation assay,False,6301-6,INR in Platelet poor plasma by Coagulation assay
51199,Eosinophils [#/volume] in Blood,Eosinophil Count,Blood,Hematology,26449-9,Eosinophils [#/volume] in Blood,False,711-2,Eosinophils [#/volume] in Blood by Automated count
51200,Eosinophils [#/volume] in Blood by Automated count,Eosinophils,Blood,Hematology,711-2,Eosinophils [#/volume] in Blood by Automated count,False,713-8,Eosinophils/100 leukocytes in Blood by Automated count
51493,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field,RBC,Urine,Hematology,5808-1,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field,False,13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field
50922,Ethanol [Presence] in Serum or Plasma,Ethanol,Blood,Chemistry,5642-4,Ethanol [Presence] in Serum or Plasma,False,5640-8,Ethanol [Mass/volume] in Blood
51477,Fat [#/area] in Urine by Computer assisted method,Free Fat,Urine,Hematology,53359-6,Fat [#/area] in Urine by Computer assisted method,False,2272-3,Fat [Presence] in Urine
51511,Fat [Presence] in Urine,Urine Fat Bodies,Urine,Hematology,2272-3,Fat [Presence] in Urine,False,25158-7,Oval fat bodies (globules) [Presence] in Urine sediment by Light microscopy
50870,Gliadin Ab [Units/volume] in Serum,"Anti-Gliadin Antibody, IgA",Blood,Chemistry,7893-1,Gliadin Ab [Units/volume] in Serum,False,58709-7,Gliadin peptide IgA Ab [Units/volume] in Serum
50920,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD),Estimated GFR (MDRD equation),Blood,Chemistry,33914-3,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD),False,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)"
51220,Heinz bodies [Presence] in Blood,Heinz Body Prep,Blood,Hematology,48068-1,Heinz bodies [Presence] in Blood,False,716-1,Heinz bodies [Presence] in Blood by Light microscopy
50810,Hematocrit [Volume Fraction] of Blood,"Hematocrit, Calculated",Blood,Blood Gas,20570-8,Hematocrit [Volume Fraction] of Blood,False,48703-3,Hematocrit [Volume Fraction] of Blood by Estimated
51226,Hemoglobin A [Units/volume] in Blood by Electrophoresis,Hemogloblin A,Blood,Hematology,10346-5,Hemoglobin A [Units/volume] in Blood by Electrophoresis,False,4546-8,Hemoglobin A/Hemoglobin.total in Blood
50854,Hemoglobin A1c/Hemoglobin.total in Blood,Absolute A1c,Blood,Chemistry,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,False,41995-2,Hemoglobin A1c [Mass/volume] in Blood
51223,Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis,Hemoglobin A2,Blood,Hematology,4552-6,Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis,False,4551-8,Hemoglobin A2/Hemoglobin.total in Blood
51224,Hemoglobin C/Hemoglobin.total in Blood by Electrophoresis acid (pH 6.3),Hemoglobin C,Blood,Hematology,4561-7,Hemoglobin C/Hemoglobin.total in Blood by Electrophoresis acid (pH 6.3),False,4563-3,Hemoglobin C/Hemoglobin.total in Blood
51225,Hemoglobin F [Units/volume] in Blood by Electrophoresis,Hemoglobin F,Blood,Hematology,9749-3,Hemoglobin F [Units/volume] in Blood by Electrophoresis,False,4576-5,Hemoglobin F/Hemoglobin.total in Blood
51227,Hemoglobin S [Presence] in Blood by Electrophoresis acid (pH 6.3),Hemogloblin S,Blood,Hematology,4622-7,Hemoglobin S [Presence] in Blood by Electrophoresis acid (pH 6.3),False,4625-0,Hemoglobin S/Hemoglobin.total in Blood
51290,Hemoglobin S [Presence] in Blood by Solubility test,Sickle Cell Preparation,Blood,Hematology,6864-3,Hemoglobin S [Presence] in Blood by Solubility test,False,801-1,Sickle cells [Presence] in Blood by Light microscopy
51466,Hemoglobin [Presence] in Urine by Test strip,Blood,Urine,Hematology,5794-3,Hemoglobin [Presence] in Urine by Test strip,False,53963-5,Blood [Presence] in Urine by Visual
51228,Heparin [Units/volume] in Platelet poor plasma,Heparin,Blood,Hematology,13055-9,Heparin [Units/volume] in Platelet poor plasma,False,66483-9,Heparin unfractionated [Units/volume] in Platelet poor plasma
50937,Hepatitis A virus Ab [Units/volume] in Serum or Plasma by Immunoassay,Hepatitis A Virus Antibody,Blood,Chemistry,5183-9,Hepatitis A virus Ab [Units/volume] in Serum or Plasma by Immunoassay,False,13951-9,Hepatitis A virus Ab [Presence] in Serum by Immunoassay
50942,Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay,Hepatitis B Virus Core Antibody,Blood,Chemistry,5187-0,Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay,False,13952-7,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay
