,ITEMID,VALUEUOM,ROW_ID,LABEL,FLUID,CATEGORY,LOINC_CODE
84,50949,mg/dL,150,Immunoglobulin A,Blood,Chemistry,2458-8
85,50950,mg/dL,151,Immunoglobulin G,Blood,Chemistry,2465-3
86,50951,mg/dL,152,Immunoglobulin M,Blood,Chemistry,2472-9
87,50952,ug/dL,153,Iron,Blood,Chemistry,2498-4
88,50953,ug/dL,154,"Iron Binding Capacity, Total",Blood,Chemistry,2500-7
89,50954,IU/L,155,Lactate Dehydrogenase (LD),Blood,Chemistry,2532-0
90,50956,IU/L,157,Lipase,Blood,Chemistry,3040-3
91,50958,mIU/mL,159,Luteinizing Hormone,Blood,Chemistry,1599-0
92,50960,mg/dL,161,Magnesium,Blood,Chemistry,2601-3
93,50961,umol/L,162,Methotrexate,Blood,Chemistry,
94,50963,pg/mL,164,NTproBNP,Blood,Chemistry,33762-6
95,50964,MOSM/KG,165,"Osmolality, Measured",Blood,Chemistry,2692-2
96,50964,mOsm/kg,165,"Osmolality, Measured",Blood,Chemistry,2692-2
97,50965,pg/mL,166,Parathyroid Hormone,Blood,Chemistry,2731-8
98,50966,ug/mL,167,Phenobarbital,Blood,Chemistry,3947-9
99,50967,ug/mL,168,Phenytoin,Blood,Chemistry,3967-7
100,50968,ug/mL,169,"Phenytoin, Free",Blood,Chemistry,3969-3
101,50969,%,170,"Phenytoin, Percent Free",Blood,Chemistry,10548-6
102,50970,mg/dL,171,Phosphate,Blood,Chemistry,2777-1
103,50971,mEq/L,172,Potassium,Blood,Chemistry,2823-3
104,50973,ng/mL,174,Prolactin,Blood,Chemistry,2842-3
105,50974,ng/mL,175,Prostate Specific Antigen,Blood,Chemistry,2857-1
106,50976,g/dL,177,"Protein, Total",Blood,Chemistry,2885-2
107,50978,ng/mL,179,Rapamycin,Blood,Chemistry,29247-4
108,50981,mg/dL,182,Salicylate,Blood,Chemistry,4023-8
109,50983,mEq/L,184,Sodium,Blood,Chemistry,2951-2
110,50986,ng/mL,187,tacroFK,Blood,Chemistry,
111,50988,ng/dL,188,Testosterone,Blood,Chemistry,2986-8
112,50993,uIU/mL,193,Thyroid Stimulating Hormone,Blood,Chemistry,3016-3
113,50993,uU/ML,193,Thyroid Stimulating Hormone,Blood,Chemistry,3016-3
114,50994,ug/dL,194,Thyroxine (T4),Blood,Chemistry,3026-2
115,50995,ng/dL,195,"Thyroxine (T4), Free",Blood,Chemistry,3024-7
116,50997,ug/mL,197,Tobramycin,Blood,Chemistry,35670-9
117,50998,mg/dL,198,Transferrin,Blood,Chemistry,2500-7
118,51000,MG/DL,200,Triglycerides,Blood,Chemistry,1644-4
119,51000,mg/dL,200,Triglycerides,Blood,Chemistry,1644-4
120,51001,ng/dL,201,Triiodothyronine (T3),Blood,Chemistry,3053-6
121,51002,ng/ml,202,Troponin I,Blood,Chemistry,10839-9
122,51003,ng/mL,203,Troponin T,Blood,Chemistry,6598-7
123,51003,ng/ml,203,Troponin T,Blood,Chemistry,6598-7
124,51005,Ratio,205,Uptake Ratio,Blood,Chemistry,3050-2
125,51006,mg/dL,206,Urea Nitrogen,Blood,Chemistry,3094-0
126,51007,mg/dL,207,Uric Acid,Blood,Chemistry,3084-1
127,51008,ug/mL,208,Valproic Acid,Blood,Chemistry,4086-5
128,51009,ug/mL,209,Vancomycin,Blood,Chemistry,20578-1
129,51010,pg/mL,210,Vitamin B12,Blood,Chemistry,2170-9
130,51014,mg/dL,214,"Glucose, CSF",Cerebrospinal Fluid (CSF),Chemistry,2342-4
131,51015,IU/L,215,"Lactate Dehydrogenase, CSF",Cerebrospinal Fluid (CSF),Chemistry,2528-8
132,51018,mg/dL,218,"Total Protein, CSF",Cerebrospinal Fluid (CSF),Chemistry,2880-3
133,51025,g/dL,225,"Albumin, Body Fluid",Other Body Fluid,Chemistry,1747-5
134,51026,IU/L,226,"Amylase, Body Fluid",Other Body Fluid,Chemistry,1795-4
135,51028,mg/dL,228,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry,1974-5
136,51030,mEq/L,230,"Chloride, Body Fluid",Other Body Fluid,Chemistry,2072-7
137,51032,mg/dL,232,"Creatinine, Body Fluid",Other Body Fluid,Chemistry,12190-5
138,51034,mg/dL,234,"Glucose, Body Fluid",Other Body Fluid,Chemistry,2344-0
139,51035,IU/L,235,"LD, Body Fluid",Other Body Fluid,Chemistry,2529-6
140,51041,mEq/L,241,"Potassium, Body Fluid",Other Body Fluid,Chemistry,2821-7
141,51042,mEq/L,242,"Sodium, Body Fluid",Other Body Fluid,Chemistry,2950-4
142,51043,g/dL,243,"Total Protein, Body Fluid",Other Body Fluid,Chemistry,2881-1
