sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
80057,GRAM NEGATIVE DIPLOCOCCI,-1,,0.70,APPROVED,EQUAL,Finn Fassbender,1738329305980,4308411,Gram-negative diplococcus,Observation,MAPS_TO,,<auto>,1738328033867,
90159,POSTMORTEM CULTURE,-1,,0.77,UNCHECKED,UNREVIEWED,,0,4046028,Postmortem care,Observation,MAPS_TO,,<auto>,1738328033910,
90564,NOCARDIA BRASILIENSIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4243347,Nocardia brasiliensis,Observation,MAPS_TO,,<auto>,1738328033914,
90713,MYCOBACTERIUM MUCOGENICUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4034212,Mycobacterium mucogenicum,Observation,MAPS_TO,,<auto>,1738328033980,
80270,CANDIDA DUBLINIENSIS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330342837,4018997,Candida dubliniensis,Observation,MAPS_TO,,<auto>,1738328034021,
80195,AEROMONAS SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329920753,4229267,Aeromonas,Observation,MAPS_TO,,<auto>,1738328034070,
91002,MYCOBACTERIUM SMEGMATIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4200394,Mycobacterium smegmatis,Observation,MAPS_TO,,<auto>,1738328034099,
90805,PASTEURELLA CANIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4300981,Pasteurella canis,Observation,MAPS_TO,,<auto>,1738328034246,
90885,ACETOBACTER SP.,-1,,0.76,UNCHECKED,UNREVIEWED,,0,4287184,Acetobacter,Observation,MAPS_TO,,<auto>,1738328034352,
90566,NOCARDIA NOVA,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4293891,Nocardia nova,Observation,MAPS_TO,,<auto>,1738328034355,
90351,CAMPYLOBACTER FETUS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4223541,Campylobacter fetus,Observation,MAPS_TO,,<auto>,1738328034363,
90017,CEFTAZIDIME,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330774969,1776684,ceftazidime,Drug,MAPS_TO,,<auto>,1738328034431,
90433,MYCOBACTERIUM FLAVESCENS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4240356,Mycobacterium flavescens,Observation,MAPS_TO,,<auto>,1738328034477,
90714,CONIDIOBOLUS SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4172479,Conidiobolus,Observation,MAPS_TO,,<auto>,1738328034561,
90160,Cryptosporidium/Giardia (DFA),-1,,0.47,UNCHECKED,UNREVIEWED,,0,4308728,Cryptosporidium,Observation,MAPS_TO,,<auto>,1738328034583,
80271,STREPTOCOCCUS ORALIS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330343286,4057957,Streptococcus oralis,Observation,MAPS_TO,,<auto>,1738328034659,
80058,GRAM NEGATIVE ROD(S),-1,,0.55,APPROVED,EQUAL,Finn Fassbender,1738329328647,4336840,Gram-negative bacillus,Observation,MAPS_TO,,Finn Fassbender,1738329327943,
90806,SHEWANELLA ALGAE,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4034347,Shewanella algae,Observation,MAPS_TO,,<auto>,1738328034783,
91003,FLAVONIFRACTOR PLAUTII,-1,,1.00,UNCHECKED,UNREVIEWED,,0,40492865,Flavonifractor plautii,Observation,MAPS_TO,,<auto>,1738328034832,
90567,CYCLOSPORA SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4014344,Cyclospora,Observation,MAPS_TO,,<auto>,1738328034883,
80196,SALMONELLA SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329921117,4099188,Salmonella,Observation,MAPS_TO,,<auto>,1738328034945,
90352,CLOSTRIDIUM CLOSTRIDIIFORME,-1,,0.64,UNCHECKED,UNREVIEWED,,0,4180851,Enterocloster clostridioformis,Observation,MAPS_TO,,<auto>,1738328034949,
90434,SALMONELLA SAINTPAUL,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4151363,Salmonella Saintpaul,Observation,MAPS_TO,,<auto>,1738328034978,
90715,SALMONELLA BARRANQUILLA,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4337112,Salmonella Barranquilla,Observation,MAPS_TO,,<auto>,1738328035051,
90887,BACILLUS CEREUS/THURINGIENSIS,-1,,0.69,UNCHECKED,UNREVIEWED,,0,4277574,Bacillus thuringiensis,Observation,MAPS_TO,,<auto>,1738328035057,
80059,CANDIDA SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329332003,4139129,Candida,Observation,MAPS_TO,,<auto>,1738328035102,
90018,CEFTRIAXONE,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330775378,1777806,ceftriaxone,Drug,MAPS_TO,,<auto>,1738328035171,
90161,TRICHOMONAS SALINE PREP,-1,,0.74,UNCHECKED,UNREVIEWED,,0,4293895,Trichomonas,Observation,MAPS_TO,,<auto>,1738328035284,
90807,ACHROMOBACTER SP.,-1,,0.81,UNCHECKED,UNREVIEWED,,0,4239076,Achromobacter,Observation,MAPS_TO,,<auto>,1738328035385,
